model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,0.15,True,0,None,10,1,False,40,-2,0.0,0.0,0.0135,0.0145,475.0,1000.0000000000003,271.7763418695601,366,96.90201236300514,3.3882644906092545,475
shallow_forest,0,1000,8192,0,0.15,True,0,None,13,1,False,2,-2,0.471,0.243,0.4851,0.2456,52.0,1000.0000000000016,954.2309831643327,10,941.3033517416158,0.2529741959083016,52
shallow_forest,0,1000,8192,0,0.15,True,0,None,13,1,False,5,-2,0.356,0.227,0.3943,0.2318,176.0,1000.0000000000001,824.9393737810072,42,535.5053687872793,0.9115082664995033,176
shallow_forest,0,1000,8192,0,0.15,True,0,None,13,1,False,15,-2,0.0,0.001,0.0162,0.015,575.0,1000.0000000000001,292.33469510904285,326,97.88769074812215,3.264085521239459,575
shallow_forest,0,1000,8192,0,0.15,True,0,None,13,1,False,40,-2,0.0,0.0,0.0151,0.0137,565.0,1000.0000000000001,298.549213926439,257,130.3456942135029,3.147937792604686,565
shallow_forest,0,1000,8192,0,0.15,True,0,None,16,1,False,2,-2,0.479,0.245,0.4957,0.2485,64.0,1000.0000000000015,959.5095589674968,10,941.3033517416158,0.23033300816586993,64
shallow_forest,0,1000,8192,0,0.15,True,0,None,16,1,False,5,-2,0.461,0.226,0.5049,0.2324,217.0,1000.0000000000007,782.0510543196654,55,333.304665433894,1.1139458613311737,217
shallow_forest,0,1000,8192,0,0.15,True,0,None,16,1,False,15,-2,0.0,0.0,0.0143,0.0139,723.0,1000.0000000000006,273.47994670542124,432,75.61745830163825,3.434201381025967,723
shallow_forest,0,1000,8192,0,0.15,True,0,None,16,1,False,40,-2,0.0,0.0,0.0132,0.0135,817.0,1000.0000000000005,255.0345564820579,445,81.78019320104349,3.5828548414157284,817
shallow_forest,0,1000,8192,0,0.15,True,0,None,20,1,False,2,-2,0.472,0.243,0.4882,0.246,80.0,1000.0000000000025,957.2335242771226,10,941.3033517416158,0.2406144884295504,80
shallow_forest,0,1000,8192,0,0.15,True,0,None,20,1,False,5,-2,0.439,0.226,0.4879,0.2324,248.0,1000.0000000000005,755.1136437649631,75,290.1413448648779,1.1999401420817126,248
