model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,16,-2,0.136,0.097,0.3225,0.2483,111.0,1000.0,179.82213434391218,111,179.82213434391218,3.903755899153486,111
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,17,-2,0.167,0.108,0.3287,0.2468,115.0,1000.0,228.59571299567278,115,228.59571299567278,3.7369939360950655,115
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,18,-2,0.119,0.087,0.3347,0.274,144.0,1000.0,186.0698793464434,144,186.0698793464434,4.0713355957419335,144
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,19,-2,0.069,0.049,0.3241,0.2927,198.0,1000.0,129.1975231960737,198,129.1975231960737,4.614064176182403,198
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,20,-2,0.07,0.048,0.3289,0.3001,199.0,1000.0,129.88456413292536,199,129.88456413292536,4.639863352143089,199
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,21,-2,0.031,0.02,0.3467,0.3301,259.0,1000.0,110.12719918348964,259,110.12719918348964,4.986901700336748,259
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,22,-2,0.021,0.013,0.3468,0.3381,274.0,1000.0,104.1345283755585,274,104.1345283755585,5.041340001640142,274
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,23,-2,0.087,0.062,0.3497,0.3057,194.0,1000.0,128.639029847088,194,128.639029847088,4.64525154213725,194
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,24,-2,0.056,0.037,0.3496,0.3155,228.0,1000.0,112.88932633336067,228,112.88932633336067,4.854112258923241,228
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,1,-2,0.482,0.249,0.5068,0.2514,2.0,1000.0,883.0356731185892,2,883.0356731185892,0.37871151038331285,2
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,2,-2,0.424,0.232,0.4349,0.2353,4.0,1000.0,729.6958270402812,4,729.6958270402812,0.896646732740516,4
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,3,-2,0.384,0.231,0.4298,0.2437,8.0,1000.0,579.6274665679673,8,579.6274665679673,1.391200873966429,8
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,4,-2,0.277,0.177,0.3044,0.1936,15.0,1000.0,328.82822263303376,15,328.82822263303376,2.377164471711876,15
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.261,0.166,0.2889,0.1997,23.0,1000.0,305.28347482299137,23,305.28347482299137,2.6154301956305526,23
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,6,-2,0.252,0.162,0.2899,0.2043,39.0,1000.0,240.8318915758459,39,240.8318915758459,3.1182202598777957,39
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,7,-2,0.221,0.14,0.3167,0.2195,71.0,1000.0,206.7510580384052,71,206.7510580384052,3.5353844500165588,71
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,8,-2,0.213,0.14,0.3289,0.2304,78.0,1000.0,223.19050159000943,78,223.19050159000943,3.544380987267813,78
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,9,-2,0.207,0.133,0.3119,0.2268,81.0,1000.0,167.42162345408076,81,167.42162345408076,3.847116931283342,81
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,10,-2,0.177,0.113,0.335,0.2507,124.0,1000.0,147.01020372749642,124,147.01020372749642,4.21266520901449,124
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,11,-2,0.148,0.089,0.3224,0.2684,157.0,1000.0,170.33496411482875,157,170.33496411482875,4.240926293000277,157
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,12,-2,0.092,0.055,0.3588,0.3071,224.0,1000.0,113.45483682946268,224,113.45483682946268,4.837021611229455,224
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,13,-2,0.077,0.05,0.3564,0.3077,247.0,1000.0,104.65180361560904,247,104.65180361560904,4.987272034944662,247
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,14,-2,0.043,0.026,0.3552,0.3288,286.0,1000.0,98.91410415102591,286,98.91410415102591,5.122982623913762,286
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.04,0.026,0.3474,0.3269,282.0,1000.0,91.35644476444998,282,91.35644476444998,5.186061295796854,282
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,16,-2,0.035,0.022,0.3529,0.3324,308.0,1000.0,93.08061022576076,308,93.08061022576076,5.2368137249017686,308
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,17,-2,0.035,0.022,0.35,0.3292,294.0,1000.0,97.22139682189307,294,97.22139682189307,5.160877144058104,294
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,18,-2,0.023,0.014,0.3495,0.3383,302.0,1000.0,92.29301165310405,302,92.29301165310405,5.217828758928127,302
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,19,-2,0.009,0.006,0.3649,0.3574,327.0,1000.0,87.50999942863673,327,87.50999942863673,5.344960485993983,327
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,20,-2,0.005,0.003,0.3527,0.3486,325.0,1000.0,89.23003978481687,325,89.23003978481687,5.297933221361013,325
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,21,-2,0.018,0.012,0.3672,0.352,313.0,1000.0,91.57510578754469,313,91.57510578754469,5.263710720175049,313
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,22,-2,0.006,0.004,0.3542,0.3475,336.0,1000.0,88.57764955111419,336,88.57764955111419,5.340760614564461,336
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,23,-2,0.0,0.0,0.3495,0.3495,322.0,1000.0,87.56711711595854,322,87.56711711595854,5.318566564550532,322
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,24,-2,0.008,0.005,0.3594,0.3531,321.0,1000.0,89.83317872590283,321,89.83317872590283,5.307561596871012,321
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,1,-2,0.498,0.249,0.5007,0.2518,2.0,1000.0,998.002004006004,2,998.002004006004,0.014427214862176116,2
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,2,-2,0.479,0.249,0.4965,0.2524,3.0,1000.0,881.905890670881,3,881.905890670881,0.39093002721025677,3
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,3,-2,0.482,0.248,0.501,0.2529,4.0,1000.0,923.9751078898175,4,923.9751078898175,0.29832363746676666,4
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,4,-2,0.476,0.247,0.5017,0.2529,5.0,1000.0,765.8681348639594,5,765.8681348639594,0.6480646859861773,5
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.348,0.211,0.3705,0.2358,23.0,1000.0,500.8452854924363,23,500.8452854924363,1.9195659564981111,23
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,6,-2,0.377,0.229,0.4082,0.2443,11.0,1000.0,556.700996945398,11,556.700996945398,1.318403153035401,11
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,7,-2,0.313,0.201,0.3799,0.2393,26.0,1000.0,407.2984163976089,26,407.2984163976089,2.2326722996236903,26
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,8,-2,0.213,0.149,0.3175,0.2361,68.0,1000.0,346.23691311008423,68,346.23691311008423,2.828334098982268,68
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,9,-2,0.179,0.121,0.3174,0.2408,102.0,1000.0,242.71794330044904,102,242.71794330044904,3.541617361150823,102
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,10,-2,0.151,0.102,0.3295,0.2571,130.0,1000.0,158.8836051957533,130,158.8836051957533,4.160309331620465,130
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,11,-2,0.091,0.064,0.3284,0.2882,183.0,1000.0,130.5450113945378,183,130.5450113945378,4.587475339893349,183
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,12,-2,0.109,0.074,0.3334,0.2886,181.0,1000.0,133.61137676111267,181,133.61137676111267,4.517987254263126,181
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,13,-2,0.072,0.049,0.3333,0.3031,219.0,1000.0,104.89041900955492,219,104.89041900955492,4.872611454184903,219
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,14,-2,0.054,0.035,0.3512,0.3297,242.0,1000.0,109.48972554536796,242,109.48972554536796,4.917483361576496,242
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.025,0.016,0.3462,0.3342,283.0,1000.0,94.28679653058533,283,94.28679653058533,5.153733637220208,283
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,16,-2,0.024,0.016,0.3568,0.34,274.0,1000.0,96.20810776644555,274,96.20810776644555,5.115479652742107,274
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,17,-2,0.027,0.018,0.3466,0.3394,290.0,1000.0,94.72064188971694,290,94.72064188971694,5.163527609296294,290
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,18,-2,0.033,0.021,0.3551,0.3397,273.0,1000.0,105.54619841567009,273,105.54619841567009,5.045264622256108,273
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,19,-2,0.017,0.01,0.3502,0.3452,299.0,1000.0,100.08995953640904,299,100.08995953640904,5.12890894789822,299
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,20,-2,0.023,0.015,0.3527,0.3458,287.0,1000.0,94.46692542895634,287,94.46692542895634,5.180122711568388,287
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,21,-2,0.013,0.009,0.3542,0.3505,295.0,1000.0,91.42209798511517,295,91.42209798511517,5.207571757841812,295
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,22,-2,0.006,0.004,0.3552,0.3518,319.0,1000.0,91.81503144910424,319,91.81503144910424,5.251326741364193,319
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,23,-2,0.004,0.003,0.3616,0.3598,311.0,1000.0,95.7601169589929,311,95.7601169589929,5.215395352374886,311
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,24,-2,0.003,0.002,0.3512,0.3503,316.0,1000.0,85.96510920134982,316,85.96510920134982,5.3021212952770815,316
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,1,-2,0.469,0.248,0.5026,0.2519,2.0,1000.0,844.9011776533396,2,844.9011776533396,0.46061135034942857,2
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,2,-2,0.426,0.243,0.4463,0.2492,4.0,1000.0,618.2442882874051,4,618.2442882874051,1.0418787243854728,4
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,3,-2,0.463,0.244,0.5039,0.2576,7.0,1000.0,825.9527831540977,7,825.9527831540977,0.5987142924724411,7
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,4,-2,0.285,0.193,0.3185,0.211,12.0,1000.0,440.47247360079155,12,440.47247360079155,1.8024040074819907,12
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,5,-2,0.294,0.186,0.3413,0.2172,21.0,1000.0,348.09194187742986,21,348.09194187742986,2.487037302435141,21
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,6,-2,0.308,0.182,0.3575,0.2245,32.0,1000.0,437.17273473994237,32,437.17273473994237,2.3746854888346958,32
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,7,-2,0.211,0.148,0.3114,0.2204,55.0,1000.0,218.07796770879904,55,218.07796770879904,3.3159838555786934,55
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,8,-2,0.231,0.151,0.3513,0.2362,57.0,1000.0,273.5945905897995,57,273.5945905897995,3.125424581032016,57
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,9,-2,0.206,0.137,0.3182,0.2392,86.0,1000.0,266.1766330841233,86,266.1766330841233,3.3617297388921616,86
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,10,-2,0.134,0.088,0.3446,0.2866,152.0,1000.0,136.2497706420088,152,136.2497706420088,4.427992132674824,152
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,11,-2,0.094,0.063,0.3704,0.3229,198.0,1000.0,130.57564857200595,198,130.57564857200595,4.626016647277588,198
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,12,-2,0.097,0.066,0.3641,0.3094,192.0,1000.0,114.87384384619503,192,114.87384384619503,4.69680108761484,192
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,13,-2,0.09,0.058,0.3411,0.3018,212.0,1000.0,125.13992168768526,212,125.13992168768526,4.7566760566953565,212
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,14,-2,0.099,0.064,0.3407,0.3011,201.0,1000.0,133.10146505579868,201,133.10146505579868,4.62274510128172,201
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.022,0.014,0.3562,0.3465,293.0,1000.0,95.79144011862438,293,95.79144011862438,5.206249421711557,293
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,16,-2,0.029,0.016,0.3608,0.347,282.0,1000.0,100.43903623591775,282,100.43903623591775,5.129090140265532,282
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,17,-2,0.038,0.024,0.351,0.3298,280.0,1000.0,101.85283501208987,280,101.85283501208987,5.119130964333708,280
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,18,-2,0.037,0.024,0.3538,0.3391,286.0,1000.0,104.12492496996096,286,104.12492496996096,5.104538460834847,286
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,19,-2,0.044,0.028,0.3639,0.3423,270.0,1000.0,106.27323275406654,270,106.27323275406654,5.0281971512140275,270
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,20,-2,0.022,0.015,0.3668,0.3591,306.0,1000.0,99.54898291795854,306,99.54898291795854,5.210346430859514,306
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,21,-2,0.0,0.0,0.3672,0.3672,334.0,1000.0,81.00617260431454,334,81.00617260431454,5.398277278892518,334
