model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,2,-2,0.487,0.247,0.501,0.2536,4.0,1000.0,957.3285747328343,4,957.3285747328343,0.2241651241006346,4
shallow_forest,0,1000,8192,0,1,True,0,None,2,1,False,2,-2,0.479,0.246,0.4983,0.251,8.0,1000.0000000000001,963.5019460281335,6,953.5565006857223,0.195984595871058,8
shallow_forest,0,1000,8192,0,1,True,0,None,3,1,False,2,-2,0.487,0.246,0.5011,0.2502,12.0,1000.0000000000001,962.3994319754488,5,962.3066039469957,0.1961641888733085,12
shallow_forest,0,1000,8192,0,1,True,0,None,4,1,False,2,-2,0.474,0.244,0.4873,0.2475,16.0,1000.0000000000001,953.2098404863434,8,941.4297637104959,0.2557370499171591,16
shallow_forest,0,1000,8192,0,1,True,0,None,5,1,False,2,-2,0.486,0.247,0.4989,0.2516,20.0,999.9999999999999,958.4286723590857,7,950.3409914341273,0.22040312388634123,20
shallow_forest,0,1000,8192,0,1,True,0,None,7,1,False,2,-2,0.476,0.245,0.4948,0.2486,28.0,1000.0000000000001,953.1085768073192,9,941.2948528489891,0.26252873611798855,28
shallow_forest,0,1000,8192,0,1,True,0,None,10,1,False,2,-2,0.476,0.244,0.495,0.2487,40.0,1000.0000000000016,958.3236196609164,10,941.2916657444705,0.23942320528410743,40
shallow_forest,0,1000,8192,0,1,True,0,None,13,1,False,2,-2,0.476,0.245,0.495,0.2488,52.0,1000.0000000000018,957.1390369714709,10,941.2916657444705,0.24115591310578952,52
shallow_forest,0,1000,8192,0,1,True,0,None,16,1,False,2,-2,0.476,0.245,0.495,0.2487,64.0,1000.0000000000017,956.8507998246118,10,941.2916657444705,0.24526523906786726,64
shallow_forest,0,1000,8192,0,1,True,0,None,20,1,False,2,-2,0.476,0.245,0.495,0.2493,80.0,1000.0000000000033,955.7792736819522,10,941.2916657444705,0.251981707484755,80
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,2,-2,0.454,0.245,0.4812,0.2527,4.0,1000.0,729.7616049094389,4,729.7616049094389,0.8958832203237072,4
shallow_forest,1,1000,8192,0,1,True,0,None,2,1,False,2,-2,0.424,0.235,0.4349,0.2396,8.0,999.9999999999999,728.3845138386728,6,727.037825700974,0.9393803342343396,8
shallow_forest,1,1000,8192,0,1,True,0,None,3,1,False,2,-2,0.372,0.227,0.4041,0.2297,12.0,999.9999999999999,611.8505627284419,9,569.7139633184358,1.2597361867467298,12
shallow_forest,1,1000,8192,0,1,True,0,None,4,1,False,2,-2,0.43,0.237,0.4471,0.2401,16.0,1000.0,815.5019926401161,6,812.8259346256121,0.652202079917569,16
shallow_forest,1,1000,8192,0,1,True,0,None,5,1,False,2,-2,0.386,0.235,0.4363,0.2398,20.0,1000.0000000000002,694.0795343474696,16,565.7490609802194,1.150828006236567,20
shallow_forest,1,1000,8192,0,1,True,0,None,7,1,False,2,-2,0.365,0.231,0.3965,0.2336,28.0,1000.0000000000003,660.4445627061847,15,558.3690535837386,1.2002917451850414,28
shallow_forest,1,1000,8192,0,1,True,0,None,10,1,False,2,-2,0.374,0.235,0.4039,0.2383,40.0,1000.0000000000007,637.6489943534766,16,558.1021411892272,1.2782287323253452,40
shallow_forest,1,1000,8192,0,1,True,0,None,13,1,False,2,-2,0.372,0.234,0.4083,0.238,52.0,1000.000000000001,624.2076255248037,18,555.6185742035627,1.2687104402057272,52
shallow_forest,1,1000,8192,0,1,True,0,None,16,1,False,2,-2,0.372,0.23,0.4081,0.2334,64.0,1000.0000000000007,635.4820881622078,18,555.6185742035627,1.2880168248971566,64
