model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.154,0.109,0.307,0.2341,92.0,1000.0,210.64662351910604,92,210.64662351910604,3.599622704873095,92
shallow_forest,0,1000,8192,0,1,True,0,None,2,1,False,15,-2,0.133,0.111,0.3184,0.2176,188.0,1000.0,231.62685509240936,206,138.74436925511608,3.7306759214377863,188
shallow_forest,0,1000,8192,0,1,True,0,None,3,1,False,15,-2,0.068,0.056,0.3191,0.225,436.0,999.9999999999999,124.5899942477993,475,71.69379331573968,4.850852573310243,436
shallow_forest,0,1000,8192,0,1,True,0,None,4,1,False,15,-2,0.154,0.114,0.304,0.2077,305.0,1000.0000000000003,221.80903949118033,285,121.19405926034493,3.8497306667732567,305
shallow_forest,0,1000,8192,0,1,True,0,None,5,1,False,15,-2,0.118,0.089,0.3014,0.2119,503.0,1000.0000000000003,159.3951065748256,400,85.88364221433555,4.401071492323895,503
shallow_forest,0,1000,8192,0,1,True,0,None,7,1,False,15,-2,0.139,0.101,0.3071,0.2055,596.0,1000.0000000000002,177.69085743595963,398,75.59100475585703,4.248562312027177,596
shallow_forest,0,1000,8192,0,1,True,0,None,10,1,False,15,-2,0.111,0.084,0.3027,0.2025,1000.0,1000.0000000000003,156.28128486802254,676,48.47679857416329,4.679242614607711,1043
shallow_forest,0,1000,8192,0,1,True,0,None,13,1,False,15,-2,0.099,0.074,0.2982,0.2042,1000.0,1000.0000000000006,128.5359526524014,768,41.47288270665544,4.962807101169629,1515
shallow_forest,0,1000,8192,0,1,True,0,None,16,1,False,15,-2,0.103,0.08,0.3025,0.2051,1000.0,1000.0000000000003,145.96663253120556,724,44.87761134463375,4.7666245220104,1677
shallow_forest,0,1000,8192,0,1,True,0,None,20,1,False,15,-2,0.093,0.074,0.2988,0.2024,1000.0,1000.0000000000002,134.68654350008396,834,38.44476557348217,4.951250380809152,2266
shallow_forest,1,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.086,0.049,0.3513,0.3036,240.0,1000.0,148.6539605930498,240,148.6539605930498,4.760463030211021,240
shallow_forest,1,1000,8192,0,1,True,0,None,2,1,False,15,-2,0.021,0.022,0.3579,0.2811,563.0,1000.0,87.04309277593485,497,70.8519583356734,5.437008055143868,563
shallow_forest,1,1000,8192,0,1,True,0,None,3,1,False,15,-2,0.008,0.02,0.3513,0.2655,805.0,1000.0000000000001,86.43301838225175,583,62.609903369994115,5.515476288702806,805
shallow_forest,1,1000,8192,0,1,True,0,None,4,1,False,15,-2,0.004,0.016,0.3497,0.2559,1000.0,1000.0000000000002,79.60370594388178,670,50.039984012787215,5.6521775443622335,1077
shallow_forest,1,1000,8192,0,1,True,0,None,5,1,False,15,-2,0.001,0.013,0.3354,0.2489,1000.0,1000.0000000000002,73.64346542633638,738,43.93176527297759,5.776405858431836,1363
shallow_forest,1,1000,8192,0,1,True,0,None,7,1,False,15,-2,0.0,0.012,0.3391,0.2456,1000.0,1000.0000000000002,75.1395979738611,755,44.87761134463375,5.7888603590458425,1902
shallow_forest,1,1000,8192,0,1,True,0,None,10,1,False,15,-2,0.001,0.013,0.3268,0.2336,1000.0,1000.0000000000001,71.67719302539686,834,39.6232255123179,5.884048860972731,2749
shallow_forest,1,1000,8192,0,1,True,0,None,13,1,False,15,-2,0.0,0.012,0.3325,0.2332,1000.0,1000.0000000000002,72.62793242305155,838,38.57460304397182,5.882932809176537,3510
shallow_forest,1,1000,8192,0,1,True,0,None,16,1,False,15,-2,0.0,0.017,0.3313,0.228,1000.0,1000.0000000000003,73.89567181168329,865,37.469987990390386,5.864625277488191,4068
shallow_forest,1,1000,8192,0,1,True,0,None,20,1,False,15,-2,0.0,0.012,0.3342,0.2322,1000.0,1000.0000000000002,70.21395872616785,893,36.193922141707716,5.9434192230204665,5463
shallow_forest,2,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.067,0.044,0.356,0.315,234.0,1000.0,104.47966309287182,234,104.47966309287182,4.930707215555492,234
shallow_forest,2,1000,8192,0,1,True,0,None,2,1,False,15,-2,0.018,0.024,0.3455,0.2786,490.0,1000.0000000000002,89.47066558375431,453,71.49825172687791,5.332256852645868,490
shallow_forest,2,1000,8192,0,1,True,0,None,3,1,False,15,-2,0.026,0.034,0.3308,0.2446,610.0,1000.0,94.61618372256522,585,54.12947441089743,5.320621046512736,610
shallow_forest,2,1000,8192,0,1,True,0,None,4,1,False,15,-2,0.01,0.016,0.3392,0.259,1000.0,1000.0,81.94815434163233,630,58.60034129593445,5.583513098013635,1034
shallow_forest,2,1000,8192,0,1,True,0,None,5,1,False,15,-2,0.006,0.01,0.3383,0.2652,1000.0,1000.0000000000002,76.81926841619882,670,50.19960159204453,5.68774743558638,1367
shallow_forest,2,1000,8192,0,1,True,0,None,7,1,False,15,-2,0.012,0.019,0.3292,0.2445,1000.0,1000.0000000000005,80.0721613321894,736,43.77213725647858,5.656723605616529,1656
shallow_forest,2,1000,8192,0,1,True,0,None,10,1,False,15,-2,0.006,0.013,0.3363,0.2474,1000.0,1000.0000000000001,75.45846539653452,811,41.352146256270665,5.782025936722853,2575
shallow_forest,2,1000,8192,0,1,True,0,None,13,1,False,15,-2,0.018,0.024,0.3284,0.2387,1000.0,1000.0000000000005,80.533502161611,823,39.84971769034255,5.700490276742897,2951
shallow_forest,2,1000,8192,0,1,True,0,None,16,1,False,15,-2,0.009,0.02,0.3263,0.231,1000.0,1000.0000000000001,77.28791545254666,870,37.97367509209505,5.779497929070203,3689
shallow_forest,2,1000,8192,0,1,True,0,None,20,1,False,15,-2,0.011,0.019,0.3297,0.2365,1000.0,1000.0,74.47325023120717,887,36.52396473549935,5.820806445046803,4744
shallow_forest,3,1000,8192,0,1,True,0,None,1,1,False,15,-2,0.049,0.033,0.3453,0.3259,257.0,1000.0,106.22617379911601,257,106.22617379911601,4.996848596246118,257
shallow_forest,3,1000,8192,0,1,True,0,None,2,1,False,15,-2,0.032,0.037,0.3558,0.2615,466.0,1000.0000000000002,117.22414427070899,477,73.824115301167,5.181262329457193,466
shallow_forest,3,1000,8192,0,1,True,0,None,3,1,False,15,-2,0.008,0.017,0.3452,0.2565,765.0,1000.0,83.39197936385864,659,52.1344415909483,5.564534648852939,765
