model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
wide_relu,0,1000,8192,0,1,True,0,None,2,1000,0.01,32,0,None,True,False,0.385,0.2299082139586315,0.4078369140625,0.23368553699935218,1.0,161.0,161.0,2,750.5784436019995,0.0,1.0,161.0,161.0,2,750.5784436019995,0.0,12,1,2,13.845073,1.182698
wide_relu,0,1000,8192,0,1,True,0,None,4,1000,0.01,32,0,None,True,False,0.40800000000000003,0.23035966476036734,0.4110107421875,0.23560349919072543,1.0,58.0,58.0,2,802.2767602267936,0.0,1.0,58.0,58.0,2,802.2767602267936,0.0,22,1,4,3.4745457,1.8628801
wide_relu,0,1000,8192,0,1,True,0,None,8,1000,0.01,32,0,None,True,False,0.22199999999999998,0.16104751620409255,0.2713623046875,0.18010659361415507,5.0,312.375,236.0686804194915,9,448.03348089177445,0.7987668787001344,5.0,312.375,236.0686804194915,9,448.03348089177445,0.7987668787001344,42,1,8,98.31876,2.5079598
wide_relu,0,1000,8192,0,1,True,0,None,16,1000,0.01,32,0,None,True,False,0.21899999999999997,0.16008780930903826,0.27490234375,0.1801714891202046,16.0,454.0,388.8984041494642,22,325.64090652127845,0.6350217909034238,16.0,454.0,388.8984041494642,22,325.64090652127845,0.6350217909034238,82,1,16,43.554684,2.5397758
wide_relu,0,1000,8192,0,1,True,0,None,32,1000,0.01,32,0,None,True,False,0.32199999999999995,0.20283909283347024,0.323486328125,0.2088844040725168,31.0,458.62500000000006,407.78543971523806,15,467.1059836910677,0.45166463510174965,31.0,458.62500000000006,407.78543971523806,15,467.1059836910677,0.45166463510174965,162,1,32,18.659658,2.213592
wide_relu,0,1000,8192,0,1,True,0,None,38,1000,0.01,32,0,None,True,False,0.21799999999999997,0.15836691691164062,0.2740478515625,0.18014377173559232,36.0,439.5000000000003,376.24021968496055,65,231.26175645791503,0.662559842162628,36.0,439.5000000000003,376.24021968496055,65,231.26175645791503,0.662559842162628,192,1,38,16.74979,2.5780191
wide_relu,0,1000,8192,0,1,True,0,None,42,1000,0.01,32,0,None,True,False,0.21999999999999997,0.1590734617045112,0.2742919921875,0.18079567366330473,36.0,375.42857142857156,305.6044807254237,60,266.60832695172894,0.7948375702003845,36.0,375.42857142857156,305.6044807254237,60,266.60832695172894,0.7948375702003845,212,1,42,12.835746,2.4954128
wide_relu,0,1000,8192,0,1,True,0,None,52,1000,0.01,32,0,None,True,False,0.22299999999999998,0.16010929351623865,0.2725830078125,0.17977391090840128,51.0,430.71153846153874,405.55449613377425,33,332.8873683395031,0.31883657580084335,51.0,430.71153846153874,405.55449613377425,33,332.8873683395031,0.31883657580084335,262,1,52,26.718666,2.5869744
