model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2,mean_affine_mat_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,6000,0.01,32,0,None,True,True,0.5840000000000001,0.06057013947204783,0.6131,0.2131540992284561,3.0,433.75,254.25712871028807,8,2542.6285611547746,3,8,1.0835232437524231,0.2522049018159639,433.75,11.171951485752166,15.901828125000097,2.581080580278267,3190,1,4,4.6477003,0.6765550291849214
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,6000,0.01,32,0,None,True,True,0.39575000000000005,0.043080868709951516,0.46409999999999996,0.34155734523742154,6.0,368.25,174.45889558861708,27,1878.1448293462354,5,18,1.5534294720115973,0.33113535752015366,368.25,8.251893722049504,6.853164062499925,3.7791158260470765,6370,1,8,7.0530996,1.1666007026900151
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,6000,0.01,32,0,None,True,True,0.39349999999999996,0.04254765016297622,0.475,0.43172019134102674,7.0,237.16666666666669,110.5138880161423,30,1896.0590708097677,5,23,1.5804754644767083,0.3186234062337543,237.16666666666666,5.303300858899107,2.820024305555557,3.7270330088659076,9550,1,12,8.8640175,1.467033286118533
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,6000,0.01,32,0,None,True,True,0.39349999999999996,0.04237270070739945,0.4786,0.6528846966143728,14.0,176.18750000000006,81.78609199460507,36,1905.1477632981648,5,29,1.59648660559845,0.31488797611214053,176.1875,3.946418471221723,1.5492880859374987,3.698958266589644,12730,1,16,10.237511,1.6618593556663726
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,6000,0.01,32,0,None,True,True,0.10675000000000001,0.016260208820002578,0.237,0.5573451027846211,21.0,329.1666666666667,195.25881150980672,67,1161.7237193067895,8,6,1.508245195768505,1.030074815244019,329.16666666666663,5.630398643869623,7.368431423611161,7.874874140194982,19090,1,24,12.016196,2.048635028408438
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,6000,0.01,32,0,None,True,True,0.02749999999999997,0.009228196953679806,0.20130000000000003,0.7241900964629149,31.0,281.6875,159.66323812755084,138,958.5071726387863,9,5,1.6359919070150375,1.0612759419679691,281.6875,4.834567909855027,4.399635253906282,7.803737687548223,25450,1,32,13.854706,2.36042433672137
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,38,6000,0.01,32,0,None,True,True,0.01924999999999999,0.006718570963665543,0.19240000000000002,0.6786722744037598,36.0,249.5526315789474,134.23249304235412,204,869.1156424780306,2,1,1.7921192641787762,1.0613468742593064,249.55263157894734,4.269569577455238,3.120380020775563,7.817843242459757,30220,1,38,15.2504015,2.4800248915212526
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,42,6000,0.01,32,0,None,True,True,0.01824999999999999,0.004834488167729506,0.19730000000000003,0.7646995822823086,41.0,237.07142857142867,119.87780295669154,319,804.3929388054074,2,1,1.9618756006448632,1.0479154605692198,237.07142857142856,4.073655753965233,2.4900834750566285,7.79061418444567,33400,1,42,16.302103,2.622220950131996
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,46,6000,0.01,32,0,None,True,True,0.016750000000000043,0.004381003041996274,0.20330000000000004,0.8828001487132969,44.0,215.2826086956522,107.64777726850963,347,793.4645549739446,2,1,1.998037865968703,1.032574967012081,215.28260869565213,3.709883086321952,2.015521857277869,7.719842180172436,36580,1,46,17.181105,2.783517787621444
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,50,6000,0.01,32,0,None,True,True,0.015499999999999958,0.004086559839481928,0.2066,0.9489417920937051,48.0,198.60000000000002,98.26976747708319,392,784.6285745497674,2,1,2.0419486921515277,1.0253603634820296,198.60000000000002,3.4290523472236463,1.6821821999999975,7.6847949179775,39760,1,50,17.959154,2.908372832110075
