model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_polytope_norm
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,21,-2,0.0010999999999999899,0.00018645100514399026,0.1926,0.03850355696697331,954.0,10000.0,1775.5280904564704,954,1775.5280904564704,11,0,4.677101482960904,0.17755280904564702,10.482180293501052,0.10482180293501049,315.24999999999903,4.533238889015199,954,954.0,954.0,30.886890422961002,0.9990220120693297
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,22,-2,0.00039999999999995595,7.421102175817814e-05,0.19399999999999995,0.038795810386407094,961.0,10000.0,1770.9009006717456,961,1770.9009006717456,11,0,4.686413775606812,0.17709009006717458,10.405827263267433,0.10405827263267431,313.60900000000277,4.52392659636931,961,961.0,961.0,31.000000000000004,0.9996167396142348
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,23,-2,0.00019999999999997797,3.607142857142857e-05,0.19369999999999998,0.03874158801020408,966.0,10000.0,1763.239632040977,966,1763.239632040977,11,0,4.698223678831148,0.1763239632040977,10.351966873706003,0.10351966873706005,310.9014000000045,4.512116693144975,966,966.0,966.0,31.080540535840107,0.9998109472622271
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,24,-2,0.0,0.0,0.19220000000000004,0.038439999999999995,968.0,10000.0,1763.2282892467442,968,1763.2282892467442,11,0,4.698885341056914,0.1763228289246744,10.330578512396695,0.10330578512396695,310.8974000000044,4.5114550309192065,968,968.0,968.0,31.112698372208094,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,None,-2,0.0,0.0,0.19669999999999999,0.03934,968.0,10000.0,1763.2282892467442,968,1763.2282892467442,11,0,4.698885341056914,0.1763228289246744,10.330578512396695,0.10330578512396695,310.89740000000444,4.511455030919206,968,968.0,968.0,31.112698372208094,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,None,-2,0.0,0.0,0.19589999999999996,0.03434,1933.0,10000.000000000005,1762.0031214501291,983,1760.9735943505798,11,0,4.7029703201596185,0.24933038322675397,10.346611484738748,0.10346611484738748,155.41410000000297,4.5185190129597625,1933,1932.0,966.4999999999999,30.982473735623017,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,None,-2,0.0,0.0,0.18789999999999996,0.03215555555555556,2901.0,10000.000000000004,1762.1094051038815,992,1760.684525972782,11,0,4.704201812678197,0.3053893580333146,10.341261633919336,0.10341261633919338,103.6251777777757,4.52031493296724,2901,2900.0,967.0000000000002,30.967382499668282,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,None,-2,0.0,0.0,0.1854,0.031303750000000005,3868.0,10000.000000000005,1761.7750991542598,994,1759.689177099183,11,0,4.704655662624131,0.35263669689923083,10.341261633919336,0.10341261633919338,77.72040000000158,4.52125436369438,3868,3868.0,967.0000000000001,30.964997541881324,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,None,-2,0.0,0.0,0.18100000000000005,0.030572800000000105,4836.0,10000.000000000005,1762.2666994527247,994,1760.9344110443183,11,0,4.703845459758148,0.39426278038891777,10.339123242349046,0.10339123242349049,62.17725599999945,4.520046793555277,4836,4835.0,967.2000000000003,30.96789976912054,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,7,False,None,-2,0.0,0.0,0.18310000000000004,0.030478775510204014,6768.0,10000.000000000002,1761.771290954831,1002,1759.3964874353933,11,0,4.7056608120461805,0.4664858197201711,10.342789598108746,0.10342789598108745,44.410004081631975,4.522477082792452,6768,6768.0,966.8571428571429,30.932712159712725,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,None,-2,0.0,0.0,0.18210000000000004,0.030085599999999997,9668.0,10000.000000000005,1761.7102940040968,1001,1759.4243376741156,11,0,4.705419747504446,0.5575609383735557,10.34340091021928,0.10343400910219282,31.087420000000005,4.521976050031411,9668,9668.0,966.8000000000002,30.943681659932764,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,13,False,None,-2,0.0,0.0,0.17820000000000003,0.02968544378698228,10000.0,10000.000000000013,1761.6700891366067,1007,1759.2157343543743,11,0,4.706209159516138,0.635697239257809,10.342084327764518,0.10342084327764518,23.91189230769245,4.522577676297675,12570,8408.0,966.9230769230769,30.92698680673198,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,False,None,-2,0.0,0.0,0.1785,0.02967515625,10000.0,10000.000000000011,1761.9265778190077,1006,1759.2913346003838,11,0,4.705577965033189,0.7052764280762543,10.342598577892696,0.10342598577892698,19.430267187500416,4.5224660417227724,15470,8383.0,966.875,30.93058554310031,1.0
forest,0,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,None,-2,0.0,0.0,0.1794,0.02961599999999997,10000.0,10000.000000000013,1761.7145001389983,1006,1759.2430190283546,11,0,4.705956692707769,0.7884931959123046,10.342331161443791,0.1034233116144379,15.543038000000028,4.52255641167965,19338,8385.0,966.9000000000001,30.9319425911722,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,1,-2,0.8,0.08592792158858822,0.8016,0.08582337058305214,2.0,10000.0,7506.733510655617,2,7506.733510655617,2,2,0.6282188093244804,0.7506733510655617,5000.0,50.0,5635.104800000073,8.5821215626522,2,2.0,1.9999999999999998,1.414213562373095,0.37257907673446805
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,2,-2,0.6628000000000001,0.07766587465692604,0.6637,0.07844457584424143,4.0,10000.0,5343.591863157215,4,5343.591863157215,4,4,1.3156017864888971,0.5343591863157215,2500.0,25.0,2855.397400000246,7.894738585487471,4,4.0,4.0,2.0,0.4663674570031131
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,3,-2,0.5202,0.0669290419406124,0.5186,0.06745698167865448,8.0,10000.0,4038.2548210829887,8,4038.2548210829887,8,8,1.9248957630511798,0.4038254821082989,1250.0,12.5,1630.7502000000156,7.285444608924724,8,8.0,7.999999999999999,2.82842712474619,0.5636278747536778
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,4,-2,0.3881,0.055636318485140016,0.389,0.05621063109200034,16.0,10000.0,3012.6088362082455,16,3012.6088362082455,16,16,2.5298947467739135,0.30126088362082454,625.0,6.25,907.5811999999577,6.680445625202294,16,16.0,16.0,4.0,0.6528077301357808
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,5,-2,0.29000000000000004,0.043635012964894394,0.3003,0.0453554036961024,32.0,10000.0,2516.5456483044372,32,2516.5456483044372,32,32,3.0167450428947458,0.2516545648304437,312.5,3.125,633.3001999999661,6.193595329081565,32,32.0,32.0,5.656854249492381,0.7370819083092395
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,6,-2,0.23019999999999996,0.03386220871116455,0.25849999999999995,0.03816434728652187,64.0,10000.0,2187.568513212786,64,2187.568513212786,64,64,3.4627848167680204,0.21875685132127862,156.25,1.5625,478.5455999999861,5.747555555208081,64,64.0,64.0,7.999999999999999,0.7960024587214661
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,7,-2,0.1733,0.025800797544190346,0.2217,0.03376996178738685,125.0,10000.0,2045.7560949438719,125,2045.7560949438719,16,0,3.779000876834964,0.2045756094943872,80.00000000000003,0.8,418.5118000000104,5.431339495141344,125,125.0,125.0,11.180339887498949,0.8454114271739258
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,8,-2,0.1301,0.019154855553667444,0.20109999999999995,0.03197103034325159,227.0,10000.0,1933.8283274375726,227,1933.8283274375726,13,0,4.052528691407665,0.19338283274375728,44.05286343612335,0.44052863436123346,373.96919999998204,5.157811680568493,227,227.0,227.0,15.066519173319364,0.8859142364584545
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,9,-2,0.09009999999999996,0.013256631543435964,0.19020000000000004,0.032092638455890485,369.0,10000.0,1896.5658438345872,369,1896.5658438345872,12,0,4.23958840876075,0.18965658438345873,27.10027100271003,0.27100271002710025,359.6962000000022,4.970751963215256,369,369.0,369.0,19.209372712298546,0.9217492431682583
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,10,-2,0.05940000000000001,0.008662722425583825,0.18999999999999995,0.03378867256967826,519.0,10000.0,1873.804685659634,519,1873.804685659634,12,0,4.37065307899671,0.18738046856596338,19.26782273603083,0.1926782273603083,351.11440000000437,4.839687292979411,519,519.0,519.0,22.781571499789035,0.9497165718611126
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,11,-2,0.0363,0.005439363692870595,0.18799999999999994,0.03532965846479179,651.0,10000.0,1860.3214775946656,651,1860.3214775946656,12,0,4.456191572547222,0.18603214775946655,15.360983102918583,0.15360983102918588,346.0796000000023,4.7541487994289495,651,651.0,651.0,25.51470164434615,0.9690631065230422
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,12,-2,0.02210000000000001,0.0034374887836928873,0.18820000000000003,0.03632052161553524,754.0,10000.0,1852.3557973564366,754,1852.3557973564366,12,0,4.506236557063138,0.18523557973564367,13.26259946949602,0.1326259946949602,343.1222000000035,4.704103814912759,754,754.0,754.0,27.459060435491963,0.9810428440677998
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,13,-2,0.013399999999999967,0.0022442513924537198,0.18910000000000005,0.03711930465105597,825.0,10000.0,1845.7768012411468,825,1845.7768012411468,12,0,4.536752642722449,0.18457768012411468,12.121212121212125,0.12121212121212119,340.6891999999846,4.673587729253754,825,825.0,825.0,28.722813232690143,0.9880067770160409
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,14,-2,0.008700000000000041,0.001495783477761649,0.1905,0.03776295568615763,866.0,10000.0,1833.9727369838408,866,1833.9727369838408,12,0,4.567981664328627,0.1833972736983841,11.547344110854503,0.11547344110854504,336.3456000000145,4.642358707647621,866,866.0,866.0,29.427877939124322,0.9921005907688963
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,15,-2,0.006199999999999983,0.0010969692187261368,0.19120000000000004,0.03786400846988582,891.0,10000.0,1828.378516609731,891,1828.378516609731,12,0,4.584716292688976,0.18283785166097308,11.22334455667789,0.1122334455667789,334.29679999999234,4.625624079287119,891,891.0,891.0,29.8496231131986,0.9943136430367665
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,16,-2,0.0043999999999999595,0.0008037499319144849,0.1916,0.03823864046379498,914.0,10000.0,1816.954594919752,914,1816.954594919752,12,0,4.609480734021448,0.1816954594919752,10.940919037199128,0.10940919037199123,330.1324000000064,4.600859637954644,914,914.0,914.0,30.23243291566195,0.9958178167445805
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,17,-2,0.0031999999999999806,0.0005892586978945699,0.1915,0.03823638741078269,926.0,10000.0,1809.583930078956,926,1809.583930078956,12,0,4.62370557222596,0.1809583930078956,10.79913606911447,0.1079913606911447,327.4594000000018,4.5866347997502,926,926.0,926.0,30.43024810940588,0.9969499009452053
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,18,-2,0.0024999999999999467,0.00044891098227220266,0.1904,0.03807272400507898,933.0,10000.0,1800.1472162020527,933,1800.1472162020527,12,0,4.637693582057553,0.18001472162020526,10.718113612004291,0.10718113612004287,324.0529999999917,4.572646789918705,933,933.0,933.0,30.545048698602532,0.9976508883919849
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,19,-2,0.0020000000000000018,0.00035698146610704394,0.19140000000000001,0.03822856237149295,940.0,10000.0,1797.9560617545692,940,1797.9560617545692,12,0,4.6431710531872765,0.17979560617545692,10.638297872340425,0.10638297872340426,323.26460000000554,4.56716931878887,940,940.0,940.0,30.659419433511786,0.9981496283882072
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,20,-2,0.0014999999999999458,0.000272861616447309,0.19410000000000005,0.03878444168049809,948.0,10000.0,1786.2267493238367,948,1786.2267493238367,11,0,4.661328279341625,0.17862267493238365,10.548523206751051,0.10548523206751054,319.06060000000053,4.549012092634524,948,948.0,948.0,30.789608636681308,0.9985734784229128
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,21,-2,0.0010999999999999899,0.00018645100514399026,0.19469999999999998,0.03892870228303013,955.0,10000.0,1775.5213318910025,955,1775.5213318910025,11,0,4.6774292761409715,0.17755213318910026,10.471204188481678,0.10471204188481675,315.2475999999991,4.532911095835134,955,955.0,955.0,30.90307428072489,0.9990220120693297
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,22,-2,0.00039999999999995595,7.421102175817814e-05,0.19420000000000004,0.03883583708790701,961.0,10000.0,1770.9009006717456,961,1770.9009006717456,11,0,4.686413775606812,0.17709009006717458,10.405827263267433,0.10405827263267431,313.60900000000277,4.52392659636931,961,961.0,961.0,31.000000000000004,0.9996167396142348
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,23,-2,0.00019999999999997797,3.607142857142857e-05,0.19210000000000005,0.03842158801020409,965.0,10000.0,1763.267988707332,965,1763.267988707332,11,0,4.6977314831313945,0.17632679887073321,10.362694300518132,0.10362694300518134,310.911400000005,4.512608888844731,965,965.0,965.0,31.064449134018137,0.9998109472622271
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,24,-2,0.0,0.0,0.19210000000000005,0.038419999999999996,968.0,10000.0,1763.0002836074643,968,1763.0002836074643,11,0,4.699285418593391,0.17630002836074643,10.330578512396695,0.10330578512396695,310.81700000000563,4.511054953382695,968,968.0,968.0,31.112698372208094,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,None,-2,0.0,0.0,0.19899999999999995,0.0398,967.0,10000.0,1763.2566460955138,967,1763.2566460955138,11,0,4.69839314535716,0.17632566460955137,10.341261633919336,0.10341261633919338,310.9074000000049,4.511947226618963,967,967.0,967.0,31.096623610932426,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,2,False,None,-2,0.0,0.0,0.19299999999999995,0.034039999999999994,1933.0,10000.000000000004,1762.179048791581,983,1761.2115148385783,11,0,4.702968745279179,0.24934650589089874,10.346611484738748,0.10346611484738748,155.43420000000398,4.518853706088877,1933,1932.0,966.4999999999998,30.983995554320288,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,3,False,None,-2,0.0,0.0,0.1864,0.032413333333333336,2902.0,10000.000000000002,1761.9219934807304,993,1760.210782832556,11,0,4.70463905148603,0.3054021283488378,10.337698139214336,0.10337698139214335,103.63384444444102,4.52179301811071,2902,2901.0,967.3333333333336,30.961631048303744,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,False,None,-2,0.0,0.0,0.18479999999999996,0.0314625,3868.0,10000.000000000005,1761.954028912219,995,1760.526625757191,11,0,4.704669595149638,0.3526138964930339,10.341261633919336,0.10341261633919338,77.71035000000114,4.52090344095436,3868,3868.0,967.0000000000001,30.964882112369175,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,5,False,None,-2,0.0,0.0,0.18520000000000003,0.031111200000000096,4836.0,10000.000000000005,1761.9756411483102,999,1760.2073741465806,11,0,4.705346955561885,0.39424142349580665,10.339123242349046,0.10339123242349049,62.17051999999918,4.521760520269034,4836,4835.0,967.2000000000002,30.946206709983915,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,7,False,None,-2,0.0,0.0,0.17979999999999996,0.03011836734693869,6767.0,10000.000000000004,1761.5737977439264,1004,1758.3412638051807,11,0,4.7073433539431155,0.4664515623298951,10.344318013890943,0.1034431801389094,44.40348163265233,4.5224122323551015,6767,6767.0,966.7142857142858,30.92770347373969,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,10,False,None,-2,0.0,0.0,0.17879999999999996,0.029911999999999994,9671.0,10000.000000000002,1761.7094085007323,1006,1759.2913346003838,11,0,4.706088363108693,0.5575582480781716,10.340192327577292,0.10340192327577294,31.087120000000024,4.522475024341521,9671,9671.0,967.1,30.934665995228574,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,13,False,None,-2,0.0,0.0,0.17879999999999996,0.029823076923076952,10000.0,10000.000000000013,1761.7586258115218,1004,1759.5635822555546,11,0,4.706037063379153,0.6357140709469942,10.337972166998014,0.1033797216699801,23.913158579881767,4.522497070744152,12575,8406.0,967.3076923076924,30.93817119426481,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,False,None,-2,0.0,0.0,0.17979999999999996,0.029631875000000002,10000.0,10000.000000000011,1761.4694416168568,1004,1758.346382258058,11,0,4.7068798489774,0.705237548631665,10.344604642141334,0.10344604642141335,19.4281250000004,4.522608852499038,15467,8455.0,966.6875,30.924569621189505,1.0
forest,1,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,20,False,None,-2,0.0,0.0,0.17969999999999997,0.029605699999999974,10000.0,10000.000000000011,1761.596304492036,1005,1759.2174396588955,11,0,4.706248371629628,0.7885032403230819,10.34179637002947,0.10341796370029475,15.54343399999976,4.5225431159732965,19339,8454.0,966.95,30.92718727579011,1.0
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,1,-2,0.8,0.08592792158858822,0.8016,0.08582337058305214,2.0,10000.0,7506.733510655617,2,7506.733510655617,2,2,0.6282188093244804,0.7506733510655617,5000.0,50.0,5635.104800000073,8.5821215626522,2,2.0,1.9999999999999998,1.414213562373095,0.37257907673446805
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,2,-2,0.6628000000000001,0.07766587465692604,0.6637,0.07844457584424143,4.0,10000.0,5343.591863157215,4,5343.591863157215,4,4,1.3156017864888971,0.5343591863157215,2500.0,25.0,2855.397400000246,7.894738585487471,4,4.0,4.0,2.0,0.4663674570031131
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,3,-2,0.5202,0.0669290419406124,0.5186,0.06745698167865448,8.0,10000.0,4038.2548210829887,8,4038.2548210829887,8,8,1.9248957630511798,0.4038254821082989,1250.0,12.5,1630.7502000000156,7.285444608924724,8,8.0,7.999999999999999,2.82842712474619,0.5636278747536778
forest,2,10000,10000,/mnt/ssd3/ronan/pytorch,True,None,1,False,4,-2,0.3881,0.055636318485140016,0.389,0.05621063109200034,16.0,10000.0,3012.6088362082455,16,3012.6088362082455,16,16,2.5298947467739135,0.30126088362082454,625.0,6.25,907.5811999999577,6.680445625202294,16,16.0,16.0,4.0,0.6528077301357808
