model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2,mean_affine_mat_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,2000,0.01,32,0,None,True,True,0.5965,0.06305108044206642,0.6092,0.08818181915860607,3.0,733.75,489.37300446591865,8,2095.5591139359444,3,8,0.9420467069377237,0.48142256646318526,733.75,15.081031131855672,57.941921875000936,4.613069183012949,3190,1,4,3.3408039,0.39606337085758936
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,2000,0.01,32,0,None,True,True,0.5965,0.06259412913120152,0.6124,0.12212868385054113,4.0,348.75,231.79557264969492,10,2130.230034526788,3,10,0.9505622645365088,0.4571368777510736,348.75,7.301540933255117,13.060882812500397,4.3942876506488835,6370,1,8,4.768437,0.5076520624734374
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,2000,0.01,32,0,None,True,True,0.39049999999999996,0.042129521038659495,0.4375,0.1917028544544923,11.0,245.75,112.21287433564235,31,1753.2780726399335,5,19,1.605706395446148,0.3326472418343492,245.75,5.11737237261468,3.0737274305554885,4.161179047044572,9550,1,12,6.1751547,0.7090604347891882
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,2000,0.01,32,0,None,True,True,0.20899999999999996,0.025364838923144905,0.2875,0.2955206479741129,15.0,260.875,103.07225924078699,79,1250.6886103263273,7,7,1.9258296262252512,0.39604482069583996,260.875,5.098253377383278,2.4508046875000016,5.098004631257947,12730,1,16,7.6143417,1.0494235066976838
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,2000,0.01,32,0,None,True,True,0.028000000000000025,0.009421168939201191,0.16920000000000002,0.48690195869950903,22.0,238.70833333333337,83.32838526976667,210,848.5870609430714,10,3,2.2208852884688524,0.47146082817133383,238.70833333333331,4.337538024168907,1.5435785590277877,6.248522652054662,19090,1,24,9.45883,1.3317705133154674
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,2000,0.01,32,0,None,True,True,0.026000000000000023,0.008304858786154737,0.18489999999999995,0.5727912979829212,31.0,177.3125,59.80026977886471,255,855.3747716644442,9,3,2.3130375442101987,0.4541252580511241,177.3125,3.2493989828889895,0.8055849609375018,6.171213543730575,25450,1,32,11.016458,1.5546666011432941
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,38,2000,0.01,32,0,None,True,True,0.024499999999999966,0.007635229113450989,0.19720000000000004,0.6500237511897833,37.0,148.39473684210532,49.02466307918599,289,855.2508403971317,1,3,2.3741105702248735,0.44417697767894276,148.39473684210523,2.720472298900666,0.5465185249307428,6.124685451999788,30220,1,38,12.149156,1.7238958905450326
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,40,2000,0.01,32,0,None,True,True,0.02200000000000002,0.007228551991282731,0.20489999999999997,0.6925955173724917,38.0,139.2,45.69485747871416,289,863.7001794604422,1,1,2.390342813505826,0.43732525081453966,139.20000000000002,2.550735188136942,0.4781334374999979,6.099265679396862,31810,1,40,12.864709,1.8570228543208365
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,42,2000,0.01,32,0,None,True,True,0.021750000000000047,0.006949104479791623,0.21120000000000005,0.7424914970419993,39.0,131.73809523809524,42.94049434300644,300,867.0870775187461,1,1,2.4086524108630742,0.43269771492347864,131.73809523809524,2.4129986237618626,0.42455172902492955,6.083638189685812,33400,1,42,13.52267,1.9642501836592214
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,44,2000,0.01,32,0,None,True,True,0.02124999999999999,0.0066676398521580485,0.21589999999999998,0.7938562492901411,43.0,131.47727272727272,40.90777144336769,356,813.6670080567357,1,1,2.5223431710982194,0.43193756782664783,131.4772727272727,2.3896081839346115,0.38547533574379533,6.197702069388479,34990,1,44,14.114884,2.064724832559387
