model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,total_epochs,weights_L2,mean_affine_mat_norm,kernel_trace,head_norm,OLS_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,40,0.01,32,0,None,True,True,0.62525,0.06689811725120001,0.6296999999999999,0.22190846708839138,6.0,442.625,324.4229733311129,7,2043.829738505632,3,7,0.8062931943981007,0.6057576351149031,442.625,9.193238004098447,22.93389453125015,4.938200596388345,6370,1,8,50,4.323627,18.696173,1.0221326,4.3852563,0.4081747199562358
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,50,0.01,32,0,None,True,True,0.60375,0.06404068465366516,0.6104,0.22574629476348335,6.0,450.875,345.1171676039892,7,2151.009065531803,3,6,0.7417918370951303,0.6512005739401647,450.875,9.205127647132331,26.50388671875033,5.195488059017747,6370,1,8,100,4.3212824,24.710882,1.0195208,4.146277,0.4053450175844432
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,100,0.01,32,0,None,True,True,0.597,0.06339001373209568,0.6033,0.22749418699073737,6.0,459.625,355.2232792554565,6,2185.9794143586987,3,6,0.7265593595038199,0.6737593691370829,459.625,9.23224647634583,28.371980468750458,5.39479461380171,6370,1,8,200,4.329184,27.366972,1.0175596,4.0964003,0.39570273000223344
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,300,0.01,32,0,None,True,True,0.5952500000000001,0.06274597753434846,0.6018,0.23239443300580903,6.0,428.75,326.49617149363326,6,2184.5301554338866,3,6,0.7526089391293633,0.620870256172737,428.75,8.78564169540279,24.092492187500646,5.0800082859062154,6370,1,8,500,4.3774934,24.645355,1.0279694,4.2217226,0.4046139956861339
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,500,0.01,32,0,None,True,True,0.5965,0.06236067707543487,0.6027,0.24064095578757297,6.0,392.125,292.9496277092702,7,2187.461085368149,3,6,0.7835140395234426,0.5539632772124882,392.125,8.373134120507087,19.179707031250096,4.575725160251908,6370,1,8,1000,4.4669952,19.29359,1.0461357,4.4491997,0.43709357710229024
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,1000,0.01,32,0,None,True,True,0.5935,0.06185061687511353,0.6053,0.2596945996067539,6.0,292.125,195.02559928122258,7,2322.2557998635725,3,6,0.9412443702672648,0.3730109750396092,292.125,7.001115982470223,8.69607421874992,3.3403060205638417,6370,1,8,2000,4.6534452,12.961786,1.0727869,4.8705997,0.46227938036012983
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,1000,0.01,32,0,None,True,True,0.59275,0.06144271774583186,0.6069,0.2741136603536408,6.0,227.87500000000003,136.65930493383902,7,2497.028634197053,3,6,1.061039262721031,0.2702800630827217,227.875,5.759503016754136,4.565707031249984,2.7156272273692674,6370,1,8,3000,4.849417,10.2572365,1.1011826,5.1821833,0.4811873673620135
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,3000,0.01,32,0,None,True,True,0.59425,0.06111363975256136,0.6137,0.29643788565611084,6.0,211.25,124.71642834847378,6,2568.361734647205,3,6,1.076657568861979,0.24776727992210756,211.25,5.460082416960389,3.836789062499907,2.5259498867667642,6370,1,8,6000,5.3352532,8.008026,1.1496917,5.7436213,0.5934368308070289
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,0,0.01,32,0,None,True,True,0.642,0.07518352241225039,0.6639999999999999,0.45816153089085,11.0,502.66666666666674,254.94386637061896,74,1089.6320479868423,7,6,1.6218281059648674,0.6600659058003223,502.66666666666663,9.612636359385379,12.102416666666437,6.292709450682023,9550,1,12,0,6.047824,6.7833962,1.3322687,10.406093,0.7119290954215182
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,10,0.01,32,0,None,True,True,0.496,0.055059562041889075,0.5255000000000001,0.4224342578501525,9.0,251.33333333333334,137.68169813014364,14,1863.512275248006,4,14,1.2980548079083976,0.4086795810901249,251.33333333333334,5.044248650140519,4.639416666666628,4.58621041027761,9550,1,12,10,6.0515876,6.490626,1.3313925,43.64155,0.6325013575109767
