model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2,mean_affine_mat_norm
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,4,6000,0.01,32,0,None,True,True,0.78625,0.07998095832587818,0.796,0.15781693559758683,1.0,140.5,140.5,2,3483.6314385996693,1,2,0.0,0.1405,140.5,5.926634795564849,4.935062500000056,0.8895760099100667,3190,1,4,3.573046,0.34819035028702616
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,8,6000,0.01,32,0,None,True,True,0.57975,0.059447997007094376,0.6214,0.2083195713814907,5.0,199.24999999999997,115.21420268352334,9,2617.7341347050506,3,9,1.1040788774230523,0.229818678527225,199.25,5.220153254455275,3.301039062500065,2.3933829236135797,6370,1,8,5.541846,0.7107427167641414
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,12,6000,0.01,32,0,None,True,True,0.386,0.04111482727285547,0.4488,0.2445148954878887,7.0,229.75,105.50668093643276,24,1862.033297231819,5,18,1.5915949509433744,0.3109448303156044,229.75,4.961658548868066,2.685741319444445,3.817442576786213,9550,1,12,7.3998117,1.1173578709484513
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,16,6000,0.01,32,0,None,True,True,0.28075000000000006,0.031367593115113244,0.36150000000000004,0.31616816534786196,9.0,205.125,85.4474436422764,37,1547.030057885108,6,28,1.7744166515353226,0.33667510302961223,205.125,4.11931426332102,1.7710957031249788,4.4847248270770015,12730,1,16,9.046636,1.4562719978600287
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,24,6000,0.01,32,0,None,True,True,0.11375000000000002,0.015249905707274098,0.24950000000000006,0.5743101900470007,20.0,219.4166666666667,97.9351401013276,85,1123.1028448009558,8,10,1.8549763105447203,0.5175762021190696,219.41666666666666,4.080781515565098,1.8603133680555353,5.8845315584627675,19090,1,24,11.267894,1.954763794982081
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,32,6000,0.01,32,0,None,True,True,0.019499999999999962,0.005566988573089969,0.17290000000000005,0.41293449959391565,29.0,201.9375,78.11638702522667,205,907.0413441514119,10,0,2.1571326682771614,0.5510610220293212,201.9375,3.539950564626574,1.1862041015625155,6.7472893881488885,25450,1,32,13.132272,2.178808226630001
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,38,6000,0.01,32,0,None,True,True,0.019499999999999962,0.005128620632183164,0.1795,0.47612393834601685,35.0,170.23684210526318,65.26285547468132,229,907.3367621781892,2,0,2.194262374029337,0.5467177631099981,170.23684210526312,2.986001504713215,0.8279787049861286,6.726982048890138,30220,1,38,14.554631,2.443266561924049
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,42,6000,0.01,32,0,None,True,True,0.019499999999999962,0.004810017426564679,0.18889999999999996,0.5600344756411872,38.0,156.33333333333331,58.62873696563776,292,896.590207396891,1,0,2.2783538229713325,0.5422887837674683,156.33333333333331,2.7524468603082712,0.6668415532879834,6.697628726623835,33400,1,42,15.671655,2.6574036620658106
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,46,6000,0.01,32,0,None,True,True,0.019000000000000017,0.00442614562840945,0.1956,0.6294268877648854,43.0,143.97826086956522,52.949484611324735,322,885.9943566411696,1,0,2.357244413842553,0.5364432052883138,143.9782608695652,2.543106624651791,0.5439911389414023,6.665540336174834,36580,1,46,16.651255,2.8386039708322577
relu_regressor,0,4000,10000,/mnt/ssd3/ronan/pytorch,True,None,50,6000,0.01,32,0,None,True,True,0.018000000000000016,0.00410092658437349,0.20130000000000003,0.7083224654100382,46.0,133.96000000000004,48.744172985086124,362,871.709814101,1,0,2.404948329804279,0.5360852310966979,133.96,2.369641323069802,0.45981980000000483,6.654920038010051,39760,1,50,17.527235,3.0154614902760764
