Architecture,run,n_parameters,01_error-train,loss-train,regions-full-0/1-train,h*-full-0/1-train,Schatten1-full-0/1-train,regions-pen-0/1-train,h*-pen-0/1-train,Schatten1-pen-0/1-train,regions-full-true_label-train,h*-full-true_label-train,Schatten1-full-true_label-train,regions-pen-true_label-train,h*-pen-true_label-train,Schatten1-pen-true_label-train,regions-full-est_label-train,h*-full-est_label-train,Schatten1-full-est_label-train,regions-pen-est_label-train,h*-pen-est_label-train,Schatten1-pen-est_label-train,regions-full-est_proba-train,h*-full-est_proba-train,Schatten1-full-est_proba-train,regions-pen-est_proba-train,h*-pen-est_proba-train,Schatten1-pen-est_proba-train,01_error-test,loss-test,regions-full-0/1-test,h*-full-0/1-test,Schatten1-full-0/1-test,regions-pen-0/1-test,h*-pen-0/1-test,Schatten1-pen-0/1-test,regions-full-true_label-test,h*-full-true_label-test,Schatten1-full-true_label-test,regions-pen-true_label-test,h*-pen-true_label-test,Schatten1-pen-true_label-test,regions-full-est_label-test,h*-full-est_label-test,Schatten1-full-est_label-test,regions-pen-est_label-test,h*-pen-est_label-test,Schatten1-pen-est_label-test,regions-full-est_proba-test,h*-full-est_proba-test,Schatten1-full-est_proba-test,regions-pen-est_proba-test,h*-pen-est_proba-test,Schatten1-pen-est_proba-test,01_error-ood_22,loss-ood_22,regions-full-0/1-ood_22,h*-full-0/1-ood_22,Schatten1-full-0/1-ood_22,regions-pen-0/1-ood_22,h*-pen-0/1-ood_22,Schatten1-pen-0/1-ood_22,regions-full-true_label-ood_22,h*-full-true_label-ood_22,Schatten1-full-true_label-ood_22,regions-pen-true_label-ood_22,h*-pen-true_label-ood_22,Schatten1-pen-true_label-ood_22,regions-full-est_label-ood_22,h*-full-est_label-ood_22,Schatten1-full-est_label-ood_22,regions-pen-est_label-ood_22,h*-pen-est_label-ood_22,Schatten1-pen-est_label-ood_22,regions-full-est_proba-ood_22,h*-full-est_proba-ood_22,Schatten1-full-est_proba-ood_22,regions-pen-est_proba-ood_22,h*-pen-est_proba-ood_22,Schatten1-pen-est_proba-ood_22,01_error-ood_45,loss-ood_45,regions-full-0/1-ood_45,h*-full-0/1-ood_45,Schatten1-full-0/1-ood_45,regions-pen-0/1-ood_45,h*-pen-0/1-ood_45,Schatten1-pen-0/1-ood_45,regions-full-true_label-ood_45,h*-full-true_label-ood_45,Schatten1-full-true_label-ood_45,regions-pen-true_label-ood_45,h*-pen-true_label-ood_45,Schatten1-pen-true_label-ood_45,regions-full-est_label-ood_45,h*-full-est_label-ood_45,Schatten1-full-est_label-ood_45,regions-pen-est_label-ood_45,h*-pen-est_label-ood_45,Schatten1-pen-est_label-ood_45,regions-full-est_proba-ood_45,h*-full-est_proba-ood_45,Schatten1-full-est_proba-ood_45,regions-pen-est_proba-ood_45,h*-pen-est_proba-ood_45,Schatten1-pen-est_proba-ood_45
width,0,441,0.258,0.46118754,229,0.229,395.6674941337867,1000,1.0,1000.0,229,0.229,395.6674941337867,1000,1.0,1000.0,229,0.229,395.6674941337867,1000,1.0,1000.0,229,0.2239784884566622,218.62147893099,1000,0.5823583533292687,468.13771599531174,0.31000000000000005,0.7060781,216,0.216,385.96775823529964,1000,1.0,1000.0,216,0.216,385.96775823529964,1000,1.0,1000.0,216,0.216,385.96775823529964,1000,1.0,1000.0,216,0.2089762176247547,218.52868922490973,1000,0.6008941122409488,481.67492485046387,0.346,0.87088585,218,0.218,386.38956638174216,1000,1.0,1000.0,218,0.218,386.38956638174216,1000,1.0,1000.0,218,0.218,386.38956638174216,1000,1.0,1000.0,218,0.2091215545452809,206.90714134018964,1000,0.549870214892143,439.78489458560944,0.516,1.2941192,219,0.219,384.61546365498805,1000,1.0,1000.0,219,0.219,384.61546365498805,1000,1.0,1000.0,219,0.219,384.61546365498805,1000,1.0,1000.0,219,0.2120622113050409,205.71791952443868,1000,0.5502180869097699,441.191863656044
width,0,517,0.248,0.45864135,250,0.25,434.30190832083633,1000,1.0,1000.0,250,0.25,434.30190832083633,1000,1.0,1000.0,250,0.25,434.30190832083633,1000,1.0,1000.0,250,0.23204949323811463,230.402591328983,1000,0.613267206877931,513.6819986701012,0.28500000000000003,0.65931463,249,0.249,438.92634622357195,1000,1.0,1000.0,249,0.249,438.92634622357195,1000,1.0,1000.0,249,0.249,438.92634622357195,1000,1.0,1000.0,249,0.23173064587514605,224.12746898620617,1000,0.6112074145810963,510.8139191865921,0.363,0.801133,242,0.242,426.6845233616365,1000,1.0,1000.0,242,0.242,426.6845233616365,1000,1.0,1000.0,242,0.242,426.6845233616365,1000,1.0,1000.0,242,0.22271540764000664,213.2086947435281,1000,0.5873195891027462,484.02721989154816,0.527,1.2271708,251,0.251,439.1337828737175,1000,1.0,1000.0,251,0.251,439.1337828737175,1000,1.0,1000.0,251,0.251,439.1337828737175,1000,1.0,1000.0,251,0.22661885732163967,217.47606285037,1000,0.5809512174025794,476.14241898059845
width,0,599,0.256,0.47396892,261,0.261,436.44392270102514,1000,1.0,1000.0,261,0.261,436.44392270102514,1000,1.0,1000.0,261,0.261,436.44392270102514,1000,1.0,1000.0,261,0.23971513695121108,237.01983129882,1000,0.5899595521063268,491.48215812444687,0.29600000000000004,0.6743193,256,0.256,430.55633327851916,1000,1.0,1000.0,256,0.256,430.55633327851916,1000,1.0,1000.0,256,0.256,430.55633327851916,1000,1.0,1000.0,256,0.23146087051990863,228.12658614199452,1000,0.5970221952877677,497.16372817754745,0.364,0.8886482,231,0.231,405.5836992798233,1000,1.0,1000.0,231,0.231,405.5836992798233,1000,1.0,1000.0,231,0.231,405.5836992798233,1000,1.0,1000.0,231,0.20707080887709897,213.33707546821623,1000,0.5760927133273989,470.4506613612175,0.504,1.2540336,246,0.246,411.2706132798706,1000,1.0,1000.0,246,0.246,411.2706132798706,1000,1.0,1000.0,246,0.246,411.2706132798706,1000,1.0,1000.0,246,0.21877587127847475,210.28089062840974,1000,0.5622731630928434,462.97621697187424
width,0,687,0.239,0.46409357,240,0.24,430.73470136928637,1000,1.0,1000.0,240,0.24,430.73470136928637,1000,1.0,1000.0,240,0.24,430.73470136928637,1000,1.0,1000.0,240,0.23125920493878663,227.31972235731604,1000,0.6039237901026233,510.02758651971817,0.32599999999999996,0.59880495,245,0.245,435.5536768946514,1000,1.0,1000.0,245,0.245,435.5536768946514,1000,1.0,1000.0,245,0.245,435.5536768946514,1000,1.0,1000.0,245,0.23309100209443004,227.53082916264597,1000,0.6063881923480343,511.6679804325104,0.363,0.72037286,242,0.242,432.77955573792246,1000,1.0,1000.0,242,0.242,432.77955573792246,1000,1.0,1000.0,242,0.242,432.77955573792246,1000,1.0,1000.0,242,0.22948075883995014,220.52049810837465,1000,0.5801586487855634,479.13330525159836,0.526,1.0515792,245,0.245,437.7228565666455,1000,1.0,1000.0,245,0.245,437.7228565666455,1000,1.0,1000.0,245,0.245,437.7228565666455,1000,1.0,1000.0,245,0.23638246950452502,219.35623960235446,1000,0.5665514850995351,467.24996876716614
width,0,781,0.239,0.4581764,318,0.318,503.4670639070872,1000,1.0,1000.0,318,0.318,503.4670639070872,1000,1.0,1000.0,318,0.318,503.4670639070872,1000,1.0,1000.0,318,0.3128581571476949,289.5098781346772,1000,0.6345123905561288,544.5090294480324,0.31699999999999995,0.7003069,314,0.314,499.37448366136715,1000,1.0,1000.0,314,0.314,499.37448366136715,1000,1.0,1000.0,314,0.314,499.37448366136715,1000,1.0,1000.0,314,0.30152126321019485,279.94767275912113,1000,0.6386275749529347,541.7630744576454,0.33999999999999997,0.84579223,298,0.298,491.248035948332,1000,1.0,1000.0,298,0.298,491.248035948332,1000,1.0,1000.0,298,0.298,491.248035948332,1000,1.0,1000.0,298,0.29382371900933374,271.3947371574419,1000,0.6070626109471314,508.90361601114273,0.48,1.2711624,310,0.31,501.8121860171684,1000,1.0,1000.0,310,0.31,501.8121860171684,1000,1.0,1000.0,310,0.31,501.8121860171684,1000,1.0,1000.0,310,0.30038597012389207,265.0584028754377,1000,0.5925661449432071,492.08419239521027
width,0,881,0.235,0.44397753,332,0.332,514.8447232136223,1000,1.0,1000.0,332,0.332,514.8447232136223,1000,1.0,1000.0,332,0.332,514.8447232136223,1000,1.0,1000.0,332,0.3215844657382589,310.31082176818427,1000,0.6495412691647608,574.2942051887512,0.31999999999999995,0.6838675,316,0.316,506.6107262890214,1000,1.0,1000.0,316,0.316,506.6107262890214,1000,1.0,1000.0,316,0.316,506.6107262890214,1000,1.0,1000.0,316,0.3089136092395558,310.6476053440859,1000,0.656150924944583,576.6033000349998,0.356,0.82167983,331,0.331,510.10209093363295,1000,1.0,1000.0,331,0.331,510.10209093363295,1000,1.0,1000.0,331,0.331,510.10209093363295,1000,1.0,1000.0,331,0.3247431468166225,303.55207189268316,1000,0.6275540883302827,546.4542190432549,0.523,1.1949375,317,0.317,500.0416550298593,1000,1.0,1000.0,317,0.317,500.0416550298593,1000,1.0,1000.0,317,0.317,500.0416550298593,1000,1.0,1000.0,317,0.3075105043646611,288.5053887562715,1000,0.6127992067718836,532.5026288628578
width,0,987,0.236,0.45638546,359,0.359,530.4680112469924,1000,1.0,1000.0,359,0.359,530.4680112469924,1000,1.0,1000.0,359,0.359,530.4680112469924,1000,1.0,1000.0,359,0.34693633173330696,314.6596503568418,1000,0.6366693790715076,551.848162651062,0.32599999999999996,0.6716828,355,0.355,529.4112658571731,1000,1.0,1000.0,355,0.355,529.4112658571731,1000,1.0,1000.0,355,0.355,529.4112658571731,1000,1.0,1000.0,355,0.34437444394998384,314.12269246850815,1000,0.6424352445945546,558.0412654280663,0.357,0.81692713,343,0.343,517.7735376135115,1000,1.0,1000.0,343,0.343,517.7735376135115,1000,1.0,1000.0,343,0.343,517.7735376135115,1000,1.0,1000.0,343,0.33127700267650784,305.6454276878077,1000,0.6193650859617787,532.2211267948151,0.512,1.1654922,351,0.351,522.9063664463015,1000,1.0,1000.0,351,0.351,522.9063664463015,1000,1.0,1000.0,351,0.351,522.9063664463015,1000,1.0,1000.0,351,0.3351470880107062,300.68770938269944,1000,0.6081084465571716,522.5641582012177
width,0,1099,0.20799999999999996,0.42497057,410,0.41,577.9201901940647,1000,1.0,1000.0,410,0.41,577.9201901940647,1000,1.0,1000.0,410,0.41,577.9201901940647,1000,1.0,1000.0,410,0.392512462764807,343.27044945249776,1000,0.6488750993529558,564.2616167068481,0.32499999999999996,0.933654,404,0.404,574.6411034816215,1000,1.0,1000.0,404,0.404,574.6411034816215,1000,1.0,1000.0,404,0.404,574.6411034816215,1000,1.0,1000.0,404,0.37581155878157907,332.628130923727,1000,0.6545012543069109,567.9073981642723,0.363,0.9984325,391,0.391,562.2858405328349,1000,1.0,1000.0,391,0.391,562.2858405328349,1000,1.0,1000.0,391,0.391,562.2858405328349,1000,1.0,1000.0,391,0.3735397246875015,322.856246720474,1000,0.6299737946409402,544.3654964566231,0.526,1.4535354,417,0.417,580.3710993224463,1000,1.0,1000.0,417,0.417,580.3710993224463,1000,1.0,1000.0,417,0.417,580.3710993224463,1000,1.0,1000.0,417,0.3810922047935975,323.08368652377055,1000,0.6254687148473278,542.9659780263901
width,0,1217,0.235,0.44619823,379,0.379,553.6579723500209,1000,1.0,1000.0,379,0.379,553.6579723500209,1000,1.0,1000.0,379,0.379,553.6579723500209,1000,1.0,1000.0,379,0.3592052922932826,311.7494064515851,1000,0.6118189367309673,522.2162892222404,0.31399999999999995,0.9712208,363,0.363,537.0230750645983,1000,1.0,1000.0,363,0.363,537.0230750645983,1000,1.0,1000.0,363,0.363,537.0230750645983,1000,1.0,1000.0,363,0.34308624025464374,299.9052855314654,1000,0.6073622807925572,517.8438301682472,0.365,0.9887239,349,0.349,526.891013505763,1000,1.0,1000.0,349,0.349,526.891013505763,1000,1.0,1000.0,349,0.349,526.891013505763,1000,1.0,1000.0,349,0.33532702807525294,288.1772442584069,1000,0.5886636397450267,496.86664777994156,0.5369999999999999,1.5477018,353,0.353,526.5846973099605,1000,1.0,1000.0,353,0.353,526.5846973099605,1000,1.0,1000.0,353,0.353,526.5846973099605,1000,1.0,1000.0,353,0.3329026361507816,284.2391435509183,1000,0.5797089096556396,489.45451182127
width,0,1341,0.21499999999999997,0.4446847,353,0.353,539.225702800719,1000,1.0,1000.0,353,0.353,539.225702800719,1000,1.0,1000.0,353,0.353,539.225702800719,1000,1.0,1000.0,353,0.33034287861966166,293.59240916093705,1000,0.6288953525989095,538.9957304000854,0.29700000000000004,0.6774198,339,0.339,529.0421919245576,1000,1.0,1000.0,339,0.339,529.0421919245576,1000,1.0,1000.0,339,0.339,529.0421919245576,1000,1.0,1000.0,339,0.32520074726777504,290.696211519023,1000,0.6322436348731245,548.8443040251732,0.357,0.7814391,350,0.35,534.1603592519543,1000,1.0,1000.0,350,0.35,534.1603592519543,1000,1.0,1000.0,350,0.35,534.1603592519543,1000,1.0,1000.0,350,0.33181562005879434,291.5107429906085,1000,0.6128896800069978,519.8551506400108,0.504,1.1238508,339,0.339,526.7739525377021,1000,1.0,1000.0,339,0.339,526.7739525377021,1000,1.0,1000.0,339,0.339,526.7739525377021,1000,1.0,1000.0,339,0.321714177264065,277.7629522638647,1000,0.593445964834548,501.55653607845306
