model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_neighbors,weights,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy
knn,0,100,8192,0,1.0,True,None,1,uniform,-2,0.0,0.0,0.393798828125,0.393798828125,100.0,100.0,10.0,100,10.0,0,0,4.60517018598809,0.1,0.9999999999999999,0.1,1.0000000000000007,0.0
knn,0,100,8192,0,1.0,True,None,1,distance,-2,0.0,0.0,0.393798828125,0.393798828125,100.0,100.0,10.0,100,10.0,0,0,4.60517018598809,0.1,0.9999999999999999,0.1,1.0000000000000007,0.0
knn,0,100,8192,0,1.0,True,None,3,uniform,-2,0.28,0.16888888888888878,0.335693359375,0.2388780381944239,100.0,100.0,16.069294390925265,72,13.19090595827292,0,0,3.8315683798963596,0.3212475680841802,3.0,0.3,1.1466666666666663,1.599394538064731
knn,0,100,8192,0,1.0,True,None,3,distance,-2,0.0,0.0,0.3519287109375,0.24805675185682796,100.0,100.0,16.069294390925265,72,13.19090595827292,0,0,3.8315683798963596,0.3212475680841802,3.0,0.3,1.1466666666666663,1.599394538064731
knn,0,100,8192,0,1.0,True,None,5,uniform,-2,0.30000000000000004,0.1891999999999998,0.3223876953125,0.21448730468749805,100.0,99.99999999999999,18.984203960134852,79,12.569805089976535,0,0,3.587239999423147,0.5285830114561004,4.999999999999999,0.5000000000000001,1.1176000000000006,2.2872700061371463
knn,0,100,8192,0,1.0,True,None,5,distance,-2,0.0,0.0,0.336181640625,0.2231442239946564,100.0,99.99999999999999,18.984203960134852,79,12.569805089976535,0,0,3.587239999423147,0.5285830114561004,4.999999999999999,0.5000000000000001,1.1176000000000006,2.2872700061371463
knn,0,100,8192,0,1.0,True,None,7,uniform,-2,0.22999999999999998,0.17836734693877554,0.322021484375,0.20670240752550223,100.0,100.0,21.523598819027658,88,11.135528725660043,0,0,3.4172007452658804,0.7340299721401029,7.0000000000000036,0.7000000000000001,1.0995918367346942,2.6832658287363977
knn,0,100,8192,0,1.0,True,None,7,distance,-2,0.0,0.0,0.3316650390625,0.2140330267770798,100.0,100.0,21.523598819027658,88,11.135528725660043,0,0,3.4172007452658804,0.7340299721401029,7.0000000000000036,0.7000000000000001,1.0995918367346942,2.6832658287363977
knn,0,100,8192,0,1.0,True,None,9,uniform,-2,0.24,0.17888888888888885,0.31494140625,0.20206705729165042,100.0,100.0,23.920134604683412,88,11.224972160321824,0,0,3.24729962565021,0.9422313940853383,8.999999999999998,0.8999999999999998,1.0960493827160496,2.9771986480756714
knn,0,100,8192,0,1.0,True,None,9,distance,-2,0.0,0.0,0.32666015625,0.2087450527322659,100.0,100.0,23.920134604683412,88,11.224972160321824,0,0,3.24729962565021,0.9422313940853383,8.999999999999998,0.8999999999999998,1.0960493827160496,2.9771986480756714
knn,0,100,8192,0,1.0,True,None,11,uniform,-2,0.28,0.18942148760330574,0.3111572265625,0.20111033542098156,100.0,100.0,26.12525455607724,84,11.661903789690601,0,0,3.098928260511445,1.15316954521007,11.0,1.1,1.09900826446281,3.2070434084590516
knn,0,100,8192,0,1.0,True,None,11,distance,-2,0.0,0.0,0.3253173828125,0.20585681688692886,100.0,100.0,26.12525455607724,84,11.661903789690601,0,0,3.098928260511445,1.15316954521007,11.0,1.1,1.09900826446281,3.2070434084590516
