model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_unexpanded_mat_norm,mean_affine_mat_norm
forest,0,1024,8192,0,1.0,True,None,1,False,1,-2,0.4873046875,0.24862748919857977,0.5009765625,0.2515943893983133,2.0,1024.0,993.483769369183,2,993.483769369183,2,2,0.13569138300580474,0.9701989935245928,512.0,16.0,963.876953125,6.795780422593602,2,2.0,2.0,1.4142135623730951,0.5013706321688739,0.5013706321688739
forest,0,1024,8192,0,1.0,True,None,1,False,2,-2,0.4619140625,0.24471076012260276,0.4820556640625,0.24657014875459074,4.0,1024.0,849.3538720698223,4,849.3538720698223,4,4,0.5804831523864448,0.8294471406931858,256.0,8.0,704.494140625,6.350988653213143,4,4.0,4.0,1.9999999999999998,0.5052615559068341,0.5052615559068341
forest,0,1024,8192,0,1.0,True,None,1,False,3,-2,0.369140625,0.2166038459893782,0.3935546875,0.22595022883716043,8.0,1024.0,668.9140453002911,8,668.9140453002911,8,8,1.1645631519502295,0.6532363723635656,128.0,4.0,436.958984375,5.766908653649229,8,8.0,7.999999999999999,2.82842712474619,0.5323496539029747,0.5323496539029747
forest,0,1024,8192,0,1.0,True,None,1,False,4,-2,0.287109375,0.18541995267472935,0.3262939453125,0.21207214807225036,14.0,1024.0,481.4228910220203,14,481.4228910220203,8,14,1.7719368762319176,0.4701395420136917,73.14285714285712,2.285714285714286,226.3359375,5.159534929367502,14,14.0,14.0,3.7416573867739413,0.5608743596611203,0.5608743596611203
forest,0,1024,8192,0,1.0,True,None,1,False,5,-2,0.208984375,0.15224870849422187,0.2755126953125,0.1965807922713295,23.0,1024.0,368.22547440393095,23,368.22547440393095,14,23,2.348789085223663,0.3595951898475888,44.52173913043477,1.3913043478260871,132.412109375,4.582682720375806,23,23.0,23.0,4.795831523312719,0.589704410281777,0.589704410281777
forest,0,1024,8192,0,1.0,True,None,1,False,6,-2,0.189453125,0.13766997379566187,0.2808837890625,0.2035222610930211,36.0,1024.0,284.54525123431597,36,284.54525123431597,12,0,2.868362480856754,0.2778762219085117,28.444444444444454,0.8888888888888888,79.068359375,4.06310932474265,36,36.0,36.0,6.0,0.601938556834781,0.601938556834781
forest,0,1024,8192,0,1.0,True,None,1,False,7,-2,0.173828125,0.1246106070260434,0.2911376953125,0.2144527024124344,53.0,1024.0,252.44009190300974,53,252.44009190300974,10,0,3.1751386125207777,0.24652352724903295,19.32075471698113,0.6037735849056604,62.232421875,3.75633319307866,53,53.0,53.0,7.280109889280518,0.6126902912352673,0.6126902912352673
forest,0,1024,8192,0,1.0,True,None,1,False,8,-2,0.15625,0.11156938725550732,0.2958984375,0.22605877289737025,77.0,1024.0,210.70832921363123,77,210.70832921363123,4,0,3.570712724573471,0.20576985274768675,13.298701298701301,0.4155844155844156,43.357421875,3.3607590810259644,77,77.0,77.0,8.774964387392123,0.623242017794446,0.623242017794446
forest,0,1024,8192,0,1.0,True,None,1,False,9,-2,0.1279296875,0.09326105263380369,0.31298828125,0.25193454341473104,107.0,1024.0,191.06543381784158,107,191.06543381784158,3,0,3.845546539996661,0.18658733771273592,9.570093457943925,0.2990654205607477,35.650390625,3.0859252656027603,107,107.0,107.0,10.344080432788601,0.6377608857292802,0.6377608857292802
forest,0,1024,8192,0,1.0,True,None,1,False,10,-2,0.1083984375,0.07594467148757611,0.314697265625,0.26688380525581834,134.0,1024.0,180.3108427133543,134,180.3108427133543,3,0,4.039069189114993,0.17608480733726006,7.641791044776117,0.23880597014925375,31.75,2.892402616484459,134,134.0,134.0,11.575836902790225,0.6511953075018464,0.6511953075018464
forest,0,1024,8192,0,1.0,True,None,1,False,11,-2,0.0859375,0.061356776709434,0.3194580078125,0.2789088727666257,156.0,1024.0,163.45029825607537,156,163.45029825607537,2,0,4.238686217027305,0.1596194318906986,6.564102564102566,0.20512820512820512,26.08984375,2.692785588572146,156,156.0,156.0,12.489995996796797,0.6623014595262235,0.6623014595262235
forest,0,1024,8192,0,1.0,True,None,1,False,12,-2,0.0703125,0.050457219209275164,0.3238525390625,0.28794916094568734,174.0,1024.0,155.69842645319187,174,155.69842645319187,2,0,4.3730467248774865,0.1520492445831952,5.885057471264366,0.18390804597701152,23.673828125,2.5584250807219533,174,174.0,174.0,13.19090595827292,0.6704795155638424,0.6704795155638424
forest,0,1024,8192,0,1.0,True,None,1,False,13,-2,0.056640625,0.03908541776946524,0.326416015625,0.3004203710555972,194.0,1024.0,136.71137480107498,194,136.71137480107498,1,0,4.576767073587476,0.1335072019541748,5.278350515463917,0.16494845360824745,18.251953125,2.354704732011969,194,194.0,194.0,13.92838827718412,0.67890690247672,0.67890690247672
forest,0,1024,8192,0,1.0,True,None,1,False,14,-2,0.041015625,0.029761476614216763,0.3345947265625,0.31250413639665864,212.0,1024.0,132.1060180309739,212,132.1060180309739,1,0,4.678382050585442,0.12900978323337295,4.830188679245283,0.1509433962264151,17.04296875,2.253089755014007,212,212.0,212.0,14.560219778561036,0.6857393990327398,0.6857393990327398
