model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
wide_relu,0,1000,8192,1000,True,None,2,1000,0.01,32,0,None,True,False,0.498,0.24999611563333307,0.49951171875,0.25000319062385656,0.0,0.0,0.0,1,1000.0,nan,0.0,0.0,0.0,1,1000.0,nan,2008,1,2,0.0,0.41705707
wide_relu,0,1000,8192,1000,True,None,3,1000,0.01,32,0,None,True,False,0.498,0.24999610185228927,0.49951171875,0.2500031136338664,0.0,0.0,0.0,1,1000.0,nan,0.0,0.0,0.0,1,1000.0,nan,3011,1,3,0.0,0.46077752
wide_relu,0,1000,8192,1000,True,None,4,1000,0.01,32,0,None,True,False,0.498,0.24999629413265906,0.49951171875,0.25000070128076674,0.0,0.0,0.0,1,1000.0,nan,0.0,0.0,0.0,1,1000.0,nan,4014,1,4,0.0,0.64498335
