model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,100,True,None,7,sqrt,False,None,-2,0.0,0.0,0.0907,0.0847,753.0,1000.0000000000001,153.61653822530482,989,32.0,4.958509973501649,753
shallow_forest,0,1000,8192,100,True,None,10,sqrt,False,2,-2,0.084,0.161,0.1091,0.1699,40.0,1000.0,336.8982042101145,949,33.61547262794322,2.8034001886997215,40
shallow_forest,0,1000,8192,100,True,None,10,sqrt,False,5,-2,0.012,0.053,0.0729,0.0995,295.0,1000.0,164.6159773533541,1000,31.622776601683793,4.550021735054739,295
shallow_forest,0,1000,8192,100,True,None,10,sqrt,False,15,-2,0.0,0.0,0.0823,0.0806,1000.0,1000.0000000000001,137.65144387183156,1000,31.622776601683793,5.243965971136008,1120
shallow_forest,0,1000,8192,100,True,None,10,sqrt,False,40,-2,0.0,0.0,0.0906,0.0854,1000.0,1000.0,119.89537105326458,1000,31.622776601683793,5.366734119384566,1158
shallow_forest,0,1000,8192,100,True,None,10,sqrt,False,None,-2,0.0,0.0,0.0808,0.078,1000.0,1000.0000000000002,141.5183380343339,1000,31.622776601683793,5.20544435406123,1116
shallow_forest,0,1000,8192,100,True,None,13,sqrt,False,2,-2,0.066,0.146,0.0867,0.1533,52.0,1000.0,330.14662333485745,982,32.2490309931942,2.9156881064393896,52
shallow_forest,0,1000,8192,100,True,None,13,sqrt,False,5,-2,0.021,0.046,0.0698,0.0875,383.0,1000.0000000000001,189.04409178562884,999,31.654383582688826,4.540789249507207,383
shallow_forest,0,1000,8192,100,True,None,13,sqrt,False,15,-2,0.0,0.0,0.0658,0.0784,1000.0,1000.0000000000002,117.78709104383236,1000,31.622776601683793,5.491889249998855,1466
shallow_forest,0,1000,8192,100,True,None,13,sqrt,False,40,-2,0.0,0.0,0.0632,0.0745,1000.0,1000.0000000000001,132.17564967445367,1000,31.622776601683793,5.361171338142638,1441
shallow_forest,0,1000,8192,100,True,None,13,sqrt,False,None,-2,0.0,0.0,0.0709,0.0749,1000.0,1000.0000000000001,160.24965729361762,1000,31.622776601683793,5.12172525911946,1371
shallow_forest,0,1000,8192,100,True,None,16,sqrt,False,2,-2,0.08,0.165,0.129,0.1752,64.0,1000.0,344.9794038236196,997,31.71750305430741,2.9362199935205586,64
shallow_forest,0,1000,8192,100,True,None,16,sqrt,False,5,-2,0.013,0.046,0.0641,0.0906,481.0,1000.0,173.90617980681424,1000,31.622776601683793,4.730204337179805,481
shallow_forest,0,1000,8192,100,True,None,16,sqrt,False,15,-2,0.0,0.0,0.0625,0.0718,1000.0,1000.0,121.27200186976384,1000,31.622776601683793,5.541434137517495,1801
shallow_forest,0,1000,8192,100,True,None,16,sqrt,False,40,-2,0.0,0.0,0.0605,0.0783,1000.0,1000.0000000000001,117.87456919327428,1000,31.622776601683793,5.567201737072822,1826
