model,rep,n_train_samples,n_test_samples,save_path,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2,mean_affine_mat_norm
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,2000,0.01,32,0,None,True,True,0.0,0.0009660181056397154,0.12739999999999996,0.865973862897387,256.0,302.72265625000006,137.63947776431516,1000,31.622776601683793,1,0,3.2642268013153464,5.869635167538099,302.72265625,9.642083402401536,0.5257052154541013,6.889028829489894,203530,1,256,19.800385,0.6410062181283195
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,2000,0.01,32,0,None,True,True,0.0,0.0009372677382701096,0.12619999999999998,1.0515211300120908,256.0,305.23046875,142.90278837181054,1000,31.622776601683793,1,0,3.2000824297980257,5.9826565169663555,305.23046875,9.72593575415473,0.5461453094482415,6.890263545689941,203530,1,256,19.787212,0.6475253237702596
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.0,256,2000,0.01,32,0,None,True,True,0.0,0.00088597508170737,0.12549999999999994,1.139706723179924,256.0,325.87109375000006,156.53366570142285,1000,31.622776601683793,1,0,3.147025858217512,6.269812357638783,325.87109375,10.371610156634839,0.599831344604492,6.892032987404613,203530,1,256,19.787458,0.6823737190716017
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.0018369188881978507,0.249,1.1840987082722239,256.0,300.12109375,129.90010534550927,1000,31.622776601683793,1,0,3.391834901404997,5.693448252157914,300.12109375,9.560268166583622,0.494619033813477,6.887085966652897,203530,1,256,19.939352,0.726849150171624
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.001577621978588554,0.25029999999999997,1.499725532645686,256.0,361.73828125,184.69320788656174,1000,31.622776601683793,1,0,3.0286416266089606,6.826085920935951,361.73828125,11.491886759958565,0.7109901275634751,6.896136629120669,203530,1,256,19.898779,0.8511748132441248
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.1,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.0019618437010116463,0.24560000000000004,1.4772241624746991,256.0,271.80468749999994,113.40962217167926,1000,31.622776601683793,1,0,3.436147392536362,5.29475381863973,271.8046875,8.69032911162514,0.42777127075195315,6.879635870090744,203530,1,256,19.958593,0.7103080078789965
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,2000,0.01,32,0,None,True,True,0.0040000000000000036,0.0025227804107711563,0.3527,1.7472294545471854,256.0,320.42968749999994,145.74436811555478,1000,31.622776601683793,1,0,3.293866141082072,6.050791518470951,320.4296875,10.198805077066627,0.5586559753417978,6.891613733598179,203530,1,256,20.10398,0.8516998183716336
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,2000,0.01,32,0,None,True,True,0.0020000000000000018,0.0027503479792997574,0.349,1.3789061138432728,256.0,280.13671875,112.08608908592154,1000,31.622776601683793,1,0,3.526269585582088,5.255221118088182,280.13671875,8.962120024688023,0.42140730285644523,6.877133617042168,203530,1,256,20.1167,0.782784884998399
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.2,256,2000,0.01,32,0,None,True,True,0.0030000000000000027,0.002422567846031072,0.3548,1.3320976200541226,256.0,322.82031250000006,147.1982293561507,1000,31.622776601683793,1,0,3.280375770366671,6.073875204513178,322.8203125,10.269121895369299,0.5629266357421875,6.890274659579434,203530,1,256,20.057322,0.8770942461887892
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.002897774258305843,0.5024,1.7604489313009715,256.0,322.36328125000006,140.85774559902362,1000,31.622776601683793,1,0,3.3906806419897952,5.930831223361528,322.36328125,10.261592357424892,0.5367242279052735,6.888063689733325,203530,1,256,20.172548,0.957345808107527
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,2000,0.01,32,0,None,True,True,0.0020000000000000018,0.003778162085720091,0.493,2.19858374548546,256.0,267.78906249999994,100.890777601954,1000,31.622776601683793,1,0,3.6521556087990046,4.98287025719113,267.7890625,8.571565826770291,0.3788604125976566,6.875349139374423,203530,1,256,20.236708,0.843919162486068
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.30000000000000004,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.0032375943348047177,0.48729999999999996,1.62006364420091,256.0,300.74218750000006,128.93859691218003,1000,31.622776601683793,1,0,3.424972714955765,5.671978490791375,300.7421875,9.591462598850931,0.49089569091796914,6.887081881437508,203530,1,256,20.226849,0.9340953963464418
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,2000,0.01,32,0,None,True,True,0.0030000000000000027,0.003266016190471399,0.5921000000000001,2.186494488690736,256.0,297.12890624999994,125.82776574623912,1000,31.622776601683793,1,0,3.457069107124179,5.602561467757404,297.12890625,9.482911652194188,0.4789534759521484,6.886941370836998,203530,1,256,20.313793,0.986622816189624
relu_regressor,1,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,2000,0.01,32,0,None,True,True,0.0,0.002903494096913778,0.6121,1.6959835632028528,256.0,331.91406249999994,153.89008689319186,1000,31.622776601683793,1,0,3.2752516245383325,6.215896556410829,331.9140625,10.575971150276667,0.5895594787597644,6.892722396068499,203530,1,256,20.291508,1.0714749665284302
relu_regressor,2,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.4,256,2000,0.01,32,0,None,True,True,0.0020000000000000018,0.003064037560464344,0.6045,2.5067631540666726,256.0,297.85546875000006,123.77180667980963,1000,31.622776601683793,1,0,3.5013764324966155,5.5576762230270305,297.85546875,9.494129977429228,0.4713098907470697,6.886896054803867,203530,1,256,20.333622,0.9759357210335846
relu_regressor,0,1000,10000,/mnt/ssd3/ronan/pytorch,True,0.5,256,2000,0.01,32,0,None,True,True,0.0010000000000000009,0.003497232405246515,0.6839999999999999,2.3346103202328194,256.0,295.62109375,123.85266336866047,1000,31.622776601683793,1,0,3.48572850572251,5.562116233952685,295.62109375,9.418153448520725,0.47206324768066427,6.887605905895021,203530,1,256,20.367994,1.0076114529737696
