model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2
relu_regressor,0,1024,8192,0,0.5,True,0,1000,500,0.01,32,0,0,True,True,0.134765625,0.10446322543859385,0.1490478515625,0.11905636885508626,721.0,493.64000000000084,485.08294156566694,126,207.38852427268006,1,0,0.11319153188348338,21.764250811199606,493.64,15.426461616326668,485.05099609374776,6.931411308207105,5002,1,1000,4.3847117
relu_regressor,0,1024,8192,0,0.5,True,0.1,1000,500,0.01,32,0,0,True,True,0.1630859375,0.12655845118004594,0.179443359375,0.1410887765341805,767.0,546.8150000000002,538.8286365283491,181,190.8035639080151,1,0,0.10231501196764407,22.938395864677755,546.815,17.08839392687329,538.7980849609382,6.931427795272301,5002,1,1000,4.0452766
relu_regressor,0,1024,8192,0,0.5,True,0.2,1000,500,0.01,32,0,0,True,True,0.19921875,0.15371629505192197,0.2169189453125,0.16666183834299647,811.0,509.11700000000116,498.7699297281268,172,208.87316725707015,1,0,0.13065138723563618,22.068896892688578,509.11699999999996,15.910240633001122,498.7250791015629,6.931389011197597,5002,1,1000,4.0008516
relu_regressor,0,1024,8192,0,0.5,True,0.3,1000,500,0.01,32,0,0,True,True,0.2421875,0.18226364491977853,0.247802734375,0.1842709324746076,877.0,518.4850000000008,508.5154772344697,201,181.6259893297212,1,0,0.12854032488411987,22.28310783527017,518.485,16.203363632283267,508.45378027343713,6.931381485606064,5002,1,1000,4.1388783
relu_regressor,0,1024,8192,0,0.5,True,0.4,1000,500,0.01,32,0,0,True,True,0.291015625,0.20346112685211004,0.300537109375,0.2080213948987711,728.0,500.5060000000006,492.22707302626094,125,264.51464987784703,1,0,0.10763483684603128,21.92352897728815,500.506,15.641880193889737,492.17650976562487,6.931393629947869,5002,1,1000,3.9049559
