model,rep,n_train_samples,n_test_samples,recurse_level,angle_params,cov_scale,onehot,noise_dims,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,0,1000,8192,0,45,1,True,0,None,10,1,False,40,-2,0.0,0.0,0.3187,0.2427,1000.0,1000.0,78.07675710478759,760,45.65084884205331,5.810390912077468,2999
shallow_forest,0,1000,8192,0,45,1,True,0,None,13,1,False,2,-2,0.248,0.2,0.3069,0.2136,52.0,1000.0000000000009,670.945830669144,20,449.7288071716109,1.2282056723628902,52
shallow_forest,0,1000,8192,0,45,1,True,0,None,13,1,False,5,-2,0.198,0.138,0.2955,0.1863,352.0,1000.0000000000002,277.57576928166424,268,135.52121605121465,3.2869995885658496,352
shallow_forest,0,1000,8192,0,45,1,True,0,None,13,1,False,15,-2,0.005,0.017,0.3164,0.2275,1000.0,1000.0000000000003,87.03892892222994,782,43.634848458542855,5.631944667204969,3005
shallow_forest,0,1000,8192,0,45,1,True,0,None,13,1,False,40,-2,0.0,0.0,0.3134,0.2411,1000.0,1000.0000000000001,75.6100240685385,814,41.20679555607303,5.850635525623018,3861
shallow_forest,0,1000,8192,0,45,1,True,0,None,16,1,False,2,-2,0.25,0.187,0.3075,0.2029,64.0,1000.0000000000011,592.7256031461775,20,449.7288071716109,1.400633940455416,64
shallow_forest,0,1000,8192,0,45,1,True,0,None,16,1,False,5,-2,0.192,0.138,0.2927,0.1859,433.0,1000.0000000000002,282.01008403956047,271,138.6001443000692,3.2547900364454283,433
shallow_forest,0,1000,8192,0,45,1,True,0,None,16,1,False,15,-2,0.004,0.013,0.3169,0.2291,1000.0,1000.0000000000001,86.20913887169968,791,42.61455150532503,5.664965747515998,3826
shallow_forest,0,1000,8192,0,45,1,True,0,None,16,1,False,40,-2,0.0,0.0,0.314,0.2404,1000.0,1000.0000000000002,78.46665294888017,808,41.7612260356422,5.813559006395564,4715
shallow_forest,0,1000,8192,0,45,1,True,0,None,20,1,False,2,-2,0.248,0.192,0.3066,0.2074,80.0,1000.0000000000015,628.1891912473503,20,449.7288071716109,1.3256723756071838,80
shallow_forest,0,1000,8192,0,45,1,True,0,None,20,1,False,5,-2,0.197,0.138,0.2939,0.187,541.0,1000.0000000000006,285.2054960900999,246,139.06832852953974,3.220007417822339,541
