model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,3,4096,5,1,random,False,2,-1,0.42236328125,0.42300000000000004,2891.6926254358214,26,1758.2002161301198,19
forest,3,4096,5,1,random,False,3,-1,0.320068359375,0.3348,2419.5494621933262,75,1089.9348604389163,37
forest,3,4096,5,1,random,False,4,-1,0.354736328125,0.3721,2302.3124896503577,133,1255.4505167468767,65
forest,3,4096,5,1,random,False,6,-1,0.30810546875,0.3306,1857.5245032031169,366,697.2230633018388,174
forest,3,4096,5,1,random,False,8,-1,0.25927734375,0.28269999999999995,1116.412289434329,1035,284.741988473776,494
forest,3,4096,5,1,random,False,10,-1,0.23828125,0.27769999999999995,542.0329141297606,2093,135.75713609236178,1080
forest,3,4096,5,1,random,False,15,-1,0.103271484375,0.30079999999999996,199.65610433943655,3710,71.79136438319024,4570
forest,3,4096,5,1,random,False,20,-1,0.0048828125,0.3167,124.89483576193214,3939,66.81317235396027,9217
forest,3,4096,5,1,random,False,None,-1,0.0,0.32720000000000005,90.90698543016373,3981,66.09084656743322,12515
forest,3,4096,10,1,random,False,2,-1,0.49853515625,0.503,2768.9519822488796,90,884.4851609834951,40
forest,3,4096,10,1,random,False,3,-1,0.338134765625,0.34209999999999996,2104.9134471516854,243,571.5557715568973,73
forest,3,4096,10,1,random,False,4,-1,0.270751953125,0.2852,1797.850967127143,402,425.8262556489442,132
forest,3,4096,10,1,random,False,6,-1,0.26904296875,0.2834,1276.2980764695988,1058,249.3511580081393,345
forest,3,4096,10,1,random,False,8,-1,0.25244140625,0.28059999999999996,908.8256268393843,2148,135.03332921912295,872
forest,3,4096,10,1,random,False,10,-1,0.2353515625,0.27780000000000005,519.9023562170112,3042,89.86656775464392,2026
