model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,0,250,5,2000,0.01,128,0,0.29032258064516125,0.27659999999999996,98.86576758413395,13,85.45174076635301,98.86576758413395,13,85.45174076635301,27,1,5
network,0,250,5;5,2000,0.01,128,0,0.29032258064516125,0.36729999999999996,27.93044933401538,6,133.36416310238667,48.592694924237314,11,93.40235543068496,57,2,5
network,0,250,5;5;5,2000,0.01,128,0,0.21370967741935487,0.3095,25.748527465986612,8,162.76977606423134,82.03543949619169,46,86.09297300012355,87,3,5
network,0,250,5;5;5;5,2000,0.01,128,0,0.29032258064516125,0.30510000000000004,5.774945887192365,5,139.2551614842337,76.64266109680693,52,83.1143790207206,117,4,5
network,0,250,5;5;5;5;5,2000,0.01,128,0,0.282258064516129,0.27849999999999997,35.027623384980025,4,188.2923259190348,116.98340395115868,42,51.884487084291386,147,5,5
network,0,250,10,2000,0.01,128,0,0.30645161290322576,0.27190000000000003,73.1664540619538,17,85.88364221433557,73.1664540619538,17,85.88364221433557,52,1,10
network,0,250,10;10,2000,0.01,128,0,0.24193548387096775,0.3329,42.745233652420275,34,60.74537019394976,76.51529258912885,84,39.824615503479755,162,2,10
network,0,250,10;10;10,2000,0.01,128,0,0.10080645161290325,0.3487,23.862313383240938,34,62.80127387243033,83.61697727668039,125,29.154759474226502,272,3,10
network,0,250,10;10;10;10;10,2000,0.01,128,0,0.06048387096774188,0.36619999999999997,18.615907176390852,27,89.57678270623477,92.06064957407152,186,21.587033144922906,492,5,10
network,0,250,50;50,2000,0.01,128,0,0.05241935483870963,0.35219999999999996,32.41222763094204,101,37.57658845611187,77.76137151568253,196,19.339079605813716,2802,2,50
network,0,250,50;50;50,2000,0.01,128,0,0.040322580645161255,0.35540000000000005,29.651318126968107,153,26.19160170741759,79.02516954883568,225,17.26267650163207,5352,3,50
network,0,250,50;50;50;50,2000,0.01,128,0,0.016129032258064502,0.34930000000000005,14.316663368257295,185,21.354156504062622,51.46415621575856,238,16.3707055437449,7902,4,50
network,0,250,100,2000,0.01,128,0,0.22177419354838712,0.3137,95.26142871068022,153,26.68332812825267,95.26142871068022,153,26.68332812825267,502,1,100
network,0,250,100;100,2000,0.01,128,0,0.024193548387096753,0.3487,19.806218089276896,191,20.784609690826528,56.745692788087425,234,16.673332000533065,10602,2,100
network,0,250,100;100;100,2000,0.01,128,0,0.020161290322580627,0.34319999999999995,8.072090463098416,182,21.4009345590327,42.776311850784396,238,16.431676725154983,20702,3,100
network,0,250,1000,2000,0.01,128,0,0.13709677419354838,0.32689999999999997,39.81595514363557,240,16.24807680927192,39.81595514363557,240,16.24807680927192,5002,1,1000
network,0,250,1000;1000,2000,0.01,128,0,0.028225806451612878,0.3359,1.3763453418383047,194,19.849433241279208,37.270543224509076,241,16.186414056238647,1006002,2,1000
network,1,250,5,2000,0.01,128,0,0.21370967741935487,0.27669999999999995,92.23426695106328,12,94.93155429044656,92.23426695106328,12,94.93155429044656,27,1,5
network,1,250,5;5,2000,0.01,128,0,0.20564516129032262,0.27759999999999996,53.22630928403734,4,144.4714504668656,98.67157645441769,20,86.86771552193599,57,2,5
network,1,250,5;5;5,2000,0.01,128,0,0.20564516129032262,0.2802,40.16106461625625,4,167.8153747426022,123.40376367392074,30,71.79136438319027,87,3,5
network,1,250,5;5;5;5,2000,0.01,128,0,0.18548387096774188,0.2943,37.116741505687145,2,247.002024283203,145.69187520242858,20,101.40019723846696,117,4,5
network,1,250,5;5;5;5;5,2000,0.01,128,0,0.1088709677419355,0.3457,24.108720413991282,6,133.50655414622906,82.7177465843938,86,37.52332607858744,147,5,5
network,1,250,10,2000,0.01,128,0,0.2016129032258065,0.2794,110.76642090453227,23,76.92853826766762,110.76642090453227,23,76.92853826766762,52,1,10
network,1,250,10;10,2000,0.01,128,0,0.14919354838709675,0.31789999999999996,34.30317040741277,27,92.52026804976305,59.36351994280662,66,60.44832503882965,162,2,10
network,1,250,10;10;10,2000,0.01,128,0,0.13709677419354838,0.3419,48.16637831516921,12,138.5929291125633,111.88896281582016,96,33.34666400106614,272,3,10
network,1,250,10;10;10;10;10,2000,0.01,128,0,0.028225806451612878,0.34240000000000004,25.88958864099621,40,65.72670690061993,89.19106681725481,179,21.954498400100153,492,5,10
network,1,250,50;50,2000,0.01,128,0,0.028225806451612878,0.3387,47.700720120350375,165,22.978250586152114,82.52105307132238,216,17.944358444926362,2802,2,50
network,1,250,50;50;50,2000,0.01,128,0,0.008064516129032251,0.35129999999999995,26.268976209801405,169,24.89979919597747,68.22835611223377,231,16.911534525287763,5352,3,50
network,1,250,50;50;50;50,2000,0.01,128,0,0.012096774193548376,0.34299999999999997,12.503076621376035,158,27.640549922170507,50.32145342694312,235,16.673332000533065,7902,4,50
network,1,250,100,2000,0.01,128,0,0.17741935483870963,0.30610000000000004,93.70507136756257,118,41.060930335295616,93.70507136756257,118,41.060930335295616,502,1,100
network,1,250,100;100,2000,0.01,128,0,0.016129032258064502,0.3405,26.571698289721702,183,21.817424229271428,66.2262247904861,230,17.08800749063506,10602,2,100
network,1,250,100;100;100,2000,0.01,128,0,0.040322580645161255,0.34709999999999996,13.936446621877627,183,22.0,48.081091108898725,236,16.55294535724685,20702,3,100
network,1,250,1000,2000,0.01,128,0,0.06854838709677424,0.33099999999999996,49.70270548974167,232,16.852299546352718,49.70270548974167,232,16.852299546352718,5002,1,1000
network,1,250,1000;1000,2000,0.01,128,0,0.020161290322580627,0.3415,2.1689033519269594,202,19.183326093250876,41.03619289115394,248,15.748015748023622,1006002,2,1000
network,2,250,5,2000,0.01,128,0,0.2540322580645161,0.2782,63.65312246857967,13,88.43076387773658,63.65312246857967,13,88.43076387773658,27,1,5
network,2,250,5;5,2000,0.01,128,0,0.20967741935483875,0.3067,61.94045527762931,11,110.73391531053169,98.13210483832489,35,59.58187643906493,57,2,5
network,2,250,5;5;5,2000,0.01,128,0,0.24193548387096775,0.3345,22.862779067004652,13,111.35528725660043,76.69947124256386,52,55.42562584220408,87,3,5
network,2,250,5;5;5;5,2000,0.01,128,0,0.21370967741935487,0.33309999999999995,14.883631949225293,7,152.1840990379744,66.3531272812367,61,50.635955604688654,117,4,5
network,2,250,5;5;5;5;5,2000,0.01,128,0,0.217741935483871,0.31310000000000004,23.30761249034316,3,174.04022523543227,102.01581053934736,58,59.16079783099616,147,5,5
network,2,250,10,2000,0.01,128,0,0.28629032258064513,0.2892,75.42711713966008,22,76.2102355330306,75.42711713966008,22,76.2102355330306,52,1,10
network,2,250,10;10,2000,0.01,128,0,0.22983870967741937,0.32699999999999996,21.36691367511929,10,95.12097560475291,68.85016339849892,63,46.8187996428785,162,2,10
network,2,250,10;10;10,2000,0.01,128,0,0.16532258064516125,0.32010000000000005,24.090569847049164,38,59.61543424315551,61.03843051717504,106,34.46737587922817,272,3,10
network,2,250,10;10;10;10;10,2000,0.01,128,0,0.092741935483871,0.34719999999999995,16.638557629794708,34,83.60621986431393,84.37859918249401,169,22.40535650240808,492,5,10
