model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,4,4096,2;2,1000,0.01,128,0,0.412109375,0.41069999999999995,217.75000000000003,2,3340.548757315181,729.052295792284,4,2421.008880611552,18,2,2
network,4,4096,2;2;2,1000,0.01,128,0,0.321044921875,0.3175,472.83333333333326,2,3103.8121721521743,1467.617655703738,7,2258.5513055939196,24,3,2
network,4,4096,2;2;2;2;2,1000,0.01,128,0,0.378173828125,0.3879,331.98400563882586,3,3322.0809743291925,1430.0736169862025,24,2121.652657717563,36,5,2
network,4,4096,2;2;2;2;2;2;2,1000,0.01,128,0,0.37841796875,0.38460000000000005,288.8571428571428,2,4044.3343086347336,790.4606832959716,18,1821.047500753344,48,7,2
network,4,4096,2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1444.3264780535637,8,1986.3826418895223,72,11,2
network,4,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1756.6440869159835,7,2338.3832021291973,108,17,2
network,4,4096,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,1744.007897803217,11,1946.351458498696,156,25,2
network,4,4096,4,1000,0.01,128,0,0.269775390625,0.26890000000000003,1992.0536984479113,10,1753.7023692747864,1992.0536984479113,10,1753.7023692747864,22,1,4
network,4,4096,4;4,1000,0.01,128,0,0.27001953125,0.26959999999999995,748.0087315666844,7,1868.1830745406087,1673.7581777246085,28,1194.4806402784434,42,2,4
network,4,4096,4;4;4,1000,0.01,128,0,0.26708984375,0.2712,408.53207748392686,5,2868.3918839656476,1852.3101979540136,52,1120.1874843078724,62,3,4
network,4,4096,4;4;4;4;4,1000,0.01,128,0,0.5,0.5,0.0,1,4095.999999999998,378.0417238877213,19,1626.378799665072,102,5,4
network,4,4096,4;4;4;4;4;4;4,1000,0.01,128,0,0.26171875,0.2711,172.24672325901994,3,2701.180482677898,1474.72361774147,127,860.9982578379588,142,7,4
network,4,4096,4;4;4;4;4;4;4;4;4;4;4,1000,0.01,128,0,0.264892578125,0.269,66.44040935957402,3,2896.572111997214,1000.4885689249963,170,635.2621506118555,222,11,4
